layer,timestep,n,insufficient_n,native_or_simulated,n_jaccard,jaccard_median,jaccard_q1,jaccard_q3,jaccard_iqr,jaccard_mean,jaccard_p10,jaccard_p90,jaccard_min,jaccard_max,n_recall,recall_median,recall_q1,recall_q3,recall_iqr,recall_mean,recall_p10,recall_p90,recall_min,recall_max,decision_margin_reference_median,n_decision_margin_reference,decision_margin_candidate_median,n_decision_margin_candidate,frac_query_blocks_changed_median,n_frac_query_blocks_changed,boundary_ties_median,n_boundary_ties,spearman_rho_median,n_spearman_rho,sat_frac_q_median,n_sat_frac_q
0,17,24,False,native,24,0.954132,0.944565,0.963097,0.018533,0.950713,0.920646,0.974488,0.905389,0.974781,24,0.976525,0.971492,0.981201,0.009709,0.974628,0.958684,0.987079,0.950346,0.98723,0.000763,24,0.001274,24,0.818359,24,124.0,24,,0,0.09464,24
0,18,24,False,native,24,0.952049,0.943146,0.962266,0.01912,0.95003,0.923283,0.974049,0.901578,0.974195,24,0.975436,0.970741,0.980769,0.010029,0.974265,0.960111,0.986854,0.948242,0.986929,0.001812,24,0.001446,24,0.792969,24,122.0,24,,0,0.094679,24
0,19,24,False,native,24,0.952407,0.941981,0.96194,0.019959,0.949988,0.927599,0.973464,0.904844,0.9761,24,0.975623,0.970121,0.9806,0.010479,0.974253,0.96244,0.986553,0.950045,0.987906,0.000706,24,0.000816,24,0.800781,24,123.5,24,,0,0.094721,24
0,20,24,False,native,24,0.953412,0.941268,0.962085,0.020817,0.949881,0.923838,0.973171,0.903346,0.974781,24,0.976149,0.969745,0.980675,0.01093,0.97419,0.960412,0.986403,0.949219,0.98723,0.00071,24,0.000656,24,0.804688,24,128.0,24,0.999256,24,0.094779,24
0,21,24,False,native,24,0.955494,0.940065,0.963857,0.023791,0.950062,0.925369,0.974781,0.898731,0.974928,24,0.977239,0.969107,0.981596,0.012489,0.974271,0.961238,0.98723,0.946665,0.987305,0.000694,24,0.001411,24,0.789062,24,116.0,24,,0,0.09483,24
0,22,24,False,native,24,0.955134,0.940136,0.963965,0.023829,0.949338,0.914982,0.974195,0.901307,0.975074,24,0.977051,0.969144,0.981652,0.012508,0.973883,0.955604,0.986929,0.948092,0.98738,0.001728,24,0.000971,24,0.822266,24,119.5,24,,0,0.094894,24
0,23,24,False,native,24,0.954414,0.939783,0.964037,0.024255,0.948546,0.917327,0.971856,0.896702,0.973756,24,0.976675,0.968957,0.981689,0.012733,0.973464,0.956881,0.985727,0.945538,0.986704,0.000702,24,0.00071,24,0.802734,24,122.5,24,,0,0.094946,24
0,24,24,False,native,24,0.955637,0.938159,0.961253,0.023094,0.948077,0.914845,0.973025,0.897783,0.975221,24,0.977314,0.968093,0.980243,0.012151,0.973213,0.955529,0.986328,0.946139,0.987455,0.001743,24,0.001282,24,0.806641,24,113.5,24,,0,0.095012,24
0,25,24,False,native,24,0.955567,0.936996,0.960278,0.023283,0.948215,0.918432,0.973464,0.899272,0.974635,24,0.977276,0.967473,0.979736,0.012263,0.973295,0.957482,0.986553,0.946965,0.987154,0.000687,24,0.000729,24,0.810547,24,121.0,24,,0,0.095076,24
0,26,24,False,native,24,0.953912,0.9339,0.959379,0.025479,0.947331,0.918294,0.971418,0.900628,0.975514,24,0.976412,0.96582,0.979267,0.013447,0.972832,0.957407,0.985502,0.947716,0.987605,0.001038,24,0.001625,24,0.832031,24,116.5,24,,0,0.095122,24
0,27,24,False,native,24,0.952765,0.935095,0.959847,0.024752,0.947128,0.913056,0.973171,0.900357,0.973318,24,0.975811,0.966459,0.979511,0.013052,0.972719,0.954552,0.986403,0.947566,0.986478,0.000687,24,0.000729,24,0.835938,24,122.0,24,,0,0.095179,24
0,28,24,False,native,24,0.953841,0.935587,0.957939,0.022352,0.947004,0.917327,0.970834,0.897377,0.974342,24,0.976375,0.966722,0.978516,0.011794,0.972656,0.956881,0.985201,0.945913,0.987004,0.001984,24,0.000687,24,0.828125,24,124.0,24,,0,0.095225,24
0,29,24,False,native,24,0.953841,0.933128,0.960748,0.02762,0.947006,0.919123,0.97171,0.897513,0.973025,24,0.976375,0.965407,0.97998,0.014573,0.972656,0.957858,0.985652,0.945989,0.986328,0.002052,24,0.001812,24,0.828125,24,115.5,24,,0,0.095277,24
0,30,24,False,native,24,0.950835,0.93404,0.959088,0.025047,0.94506,0.915396,0.969668,0.892926,0.970688,24,0.974797,0.965895,0.979117,0.013221,0.971623,0.955829,0.9846,0.943434,0.985126,0.001991,24,0.001858,24,0.847656,24,119.0,24,0.999218,24,0.095326,24
0,31,24,False,native,24,0.950264,0.934463,0.958547,0.024085,0.944779,0.913056,0.96894,0.89185,0.972733,24,0.974497,0.966121,0.978835,0.012714,0.971467,0.954552,0.984225,0.942834,0.986178,0.001503,24,0.001084,24,0.847656,24,120.0,24,,0,0.095364,24
0,32,24,False,native,24,0.949049,0.934743,0.958767,0.024024,0.943479,0.911682,0.96894,0.88582,0.970688,24,0.973858,0.966271,0.978948,0.012677,0.970766,0.953801,0.984225,0.939453,0.985126,0.000984,24,0.002251,24,0.849609,24,114.5,24,,0,0.095386,24
0,33,24,False,native,24,0.946769,0.935834,0.958009,0.022176,0.942723,0.912232,0.967339,0.883285,0.969668,24,0.972656,0.966853,0.978553,0.0117,0.970365,0.954102,0.983398,0.938026,0.9846,0.00164,24,0.000763,24,0.869141,24,122.0,24,,0,0.095425,24
0,34,24,False,native,24,0.946982,0.933234,0.956749,0.023515,0.941934,0.919123,0.966467,0.882885,0.96763,24,0.972769,0.965463,0.977896,0.012432,0.969958,0.957858,0.982948,0.9378,0.983549,0.001625,24,0.000706,24,0.873047,24,123.0,24,,0,0.095466,24
0,35,24,False,native,24,0.944848,0.935165,0.956143,0.020977,0.941007,0.920785,0.964001,0.872029,0.968648,24,0.971642,0.966496,0.977577,0.01108,0.969439,0.958759,0.981671,0.931641,0.984075,0.00148,24,0.001495,24,0.865234,24,121.5,24,,0,0.095527,24
