sparsity,routing_precision,retained_fraction,n,insufficient_n,native_or_simulated,n_jaccard,jaccard_median,jaccard_q1,jaccard_q3,jaccard_iqr,jaccard_mean,jaccard_p10,jaccard_p90,jaccard_min,jaccard_max,n_recall,recall_median,recall_q1,recall_q3,recall_iqr,recall_mean,recall_p10,recall_p90,recall_min,recall_max,decision_margin_reference_median,n_decision_margin_reference,decision_margin_candidate_median,n_decision_margin_candidate,frac_query_blocks_changed_median,n_frac_query_blocks_changed,boundary_ties_median,n_boundary_ties,spearman_rho_median,n_spearman_rho,sat_frac_q_median,n_sat_frac_q
0.8,fp8_e4m3,0.2,36000,False,simulated,36000,0.992143,0.989662,0.9938,0.004137,0.990834,0.985467,0.994931,0.877194,0.997803,36000,0.996056,0.994804,0.99689,0.002086,0.995389,0.992681,0.997459,0.93458,0.9989,0.000954,36000,0.000954,36000,0.375,36000,115.0,36000,0.999963,3600,1e-06,36000
0.8,nvfp4,0.2,36000,False,native,36000,0.979803,0.971955,0.984347,0.012392,0.976343,0.960665,0.987038,0.876392,0.993724,36000,0.989798,0.985778,0.992112,0.006333,0.987993,0.979938,0.993477,0.934125,0.996852,0.000954,36000,0.000954,36000,0.746094,36000,115.0,36000,0.999738,3600,0.1055,36000
0.8,nvfp4_sim,0.2,36000,False,simulated,36000,0.979728,0.971882,0.984347,0.012465,0.976307,0.960519,0.987038,0.87686,0.9938,36000,0.98976,0.98574,0.992112,0.006371,0.987975,0.979862,0.993477,0.93439,0.99689,0.000954,36000,0.000954,36000,0.75,36000,115.0,36000,0.999737,3600,0.105336,36000
0.9,fp8_e4m3,0.1,36000,False,simulated,36000,0.988647,0.983905,0.991771,0.007866,0.986188,0.975807,0.994008,0.861428,0.998199,36000,0.994291,0.991887,0.995868,0.003981,0.993022,0.987755,0.996995,0.925556,0.999099,0.001747,36000,0.001747,36000,0.28125,36000,104.0,36000,0.999963,3600,1e-06,36000
0.9,nvfp4,0.1,36000,False,native,36000,0.972733,0.959664,0.979774,0.02011,0.967392,0.943641,0.985088,0.803183,0.99371,36000,0.986178,0.979417,0.989784,0.010367,0.983327,0.971004,0.992488,0.89085,0.996845,0.001747,36000,0.001747,36000,0.597656,36000,105.0,36000,0.999738,3600,0.1055,36000
0.9,nvfp4_sim,0.1,36000,False,simulated,36000,0.972733,0.959664,0.979774,0.02011,0.967386,0.943641,0.985088,0.802817,0.994008,36000,0.986178,0.979417,0.989784,0.010367,0.983324,0.971004,0.992488,0.890625,0.996995,0.001747,36000,0.001747,36000,0.597656,36000,104.0,36000,0.999737,3600,0.105336,36000
