geometry,sparsity,mask_jaccard_median,mask_jaccard_iqr,mask_jaccard_p10,frac_query_blocks_changed_median,blocks_swapped_per_query_block_mean,n_cells
128x64-raster,0.8,0.9797282078234102,0.01394713437176065,0.9607376561570494,0.7886863425925926,1.4282407407407407,20400
128x64-raster,0.9,0.9722942440180754,0.018813334648579372,0.9461846048495993,0.6560763888888889,0.9972222222222222,20400
128x64-raster,0.95,0.9619749447310243,0.022515664790823897,0.9315147997678468,0.5043402777777778,0.6618344907407407,20400
64x64-raster,0.8,0.9786140396953439,0.014372853726127066,0.9593171221043637,0.76953125,1.3009638288909313,20400
64x64-raster,0.9,0.9714909844866526,0.018947960392104668,0.9459143400087706,0.615234375,0.8723601217830882,20400
64x64-raster,0.95,0.961830373590745,0.022936864422414716,0.9310945093203743,0.458984375,0.5817182712928921,20400
64x64-cube,0.8,0.979368885843706,0.009604742624759188,0.9647850071790222,0.8301282051282052,1.4975492552790346,20400
64x64-cube,0.9,0.9722563652326602,0.014117678515326415,0.9509677419354838,0.6875,1.035505750377074,20400
64x64-cube,0.95,0.9644842343450244,0.018606017805671393,0.9348837209302325,0.5096153846153846,0.6824641779788838,20400
