geometry,token_order,sparsity,n_k_blocks,k_per_query_block,retained_token_fraction,mask_jaccard_median,mask_jaccard_iqr,frac_query_blocks_changed,blocks_swapped_per_query_block,mass_swapped_out_median,mass_agreed_median,agreed_over_swapped_mass_ratio,score_gap_swapped_norm_median,rel_l2_C_median,excess_D_minus_C_median,excess_Crand_minus_C_median,Crand_over_D_excess_ratio,frac_cells_random_worse,n_paired_cells,n_query_block_observations,numerical_only_no_latency_claim
128x64-raster,raster_frame_y_x,0.8,512,103,,0.9797282078234102,0.01394713437176065,0.7886863425925926,1.4282407407407407,0.001436169957742095,0.008220978081226349,5.724237606356238,0.004835489045259389,0.10580692812800407,3.096088767051697e-05,0.0008359011262655258,26.998616291661655,0.6323529411764706,20400,27257,True
128x64-raster,raster_frame_y_x,0.9,512,52,,0.9722942440180754,0.018813334648579372,0.6560763888888889,0.9972222222222222,0.002832593861967325,0.013196868356317282,4.6589341781428715,0.0046826558013372925,0.1762191504240036,3.325752913951874e-05,0.0007204711437225342,21.663399607952954,0.616078431372549,20400,22674,True
128x64-raster,raster_frame_y_x,0.95,512,26,,0.9619749447310243,0.022515664790823897,0.5043402777777778,0.6618344907407407,0.004627936985343695,0.01773400418460369,3.8319459060842576,0.004227514650545548,0.2740054428577423,9.519606828689575e-05,0.0009592734277248383,10.076817719339438,0.6162745098039216,20400,17430,True
64x64-raster,raster_frame_y_x,0.8,512,103,0.20117906905016283,0.9786140396953439,0.014372853726127066,0.76953125,1.3009638288909313,0.0013218639651313424,0.008245181292295456,6.237541464016082,0.005007274193518157,0.09790657833218575,2.0320992916822433e-05,0.0009566536173224449,47.07710992460872,0.6472549019607843,20400,27876,True
64x64-raster,raster_frame_y_x,0.9,512,52,0.10156699131308507,0.9714909844866526,0.018947960392104668,0.615234375,0.8723601217830882,0.00270231650210917,0.01332376804202795,4.93049871531654,0.004784417681205329,0.1596265211701393,3.692135214805603e-05,0.0008601807057857513,23.297649076783372,0.6413235294117647,20400,23013,True
64x64-raster,raster_frame_y_x,0.95,512,26,0.05078458867521368,0.961830373590745,0.022936864422414716,0.458984375,0.5817182712928921,0.004351905547082424,0.018534214235842228,4.258873276389883,0.004317309940545793,0.24247518926858902,5.036592483520508e-05,0.0012186691164970398,24.19630177514793,0.6579901960784313,20400,17428,True
64x64-cube,vsa_tile_4x4x4_contiguous,0.8,624,125,0.19123253289919956,0.979368885843706,0.009604742624759188,0.8301282051282052,1.4975492552790346,0.0006269566947594285,0.006928769405931234,11.051432202330806,0.004919434553998241,0.08460834622383118,1.8441583961248398e-05,0.0013943426311016083,75.60861550892609,0.6767647058823529,20400,29597,True
64x64-cube,vsa_tile_4x4x4_contiguous,0.9,624,63,0.09522195219310603,0.9722563652326602,0.014117678515326415,0.6875,1.035505750377074,0.0014398210914805532,0.01167315011844039,8.107361523949486,0.0043670517553020625,0.136905275285244,2.898275852203369e-05,0.0012920722365379333,44.580719794344475,0.676813725490196,20400,25250,True
64x64-cube,vsa_tile_4x4x4_contiguous,0.95,624,32,0.04777268375024785,0.9644842343450244,0.018606017805671393,0.5096153846153846,0.6824641779788838,0.0024470763746649027,0.016823790967464447,6.875057575498951,0.004183940835034903,0.20002374053001404,4.038214683532715e-05,0.0014423467218875885,35.71743542435424,0.6982843137254902,20400,19899,True
