geometry,sparsity,mass_dropped_mean_median,mass_agreed_mean_median,mass_excluded_mean_median,mass_random_dropped_mean_median,agreed_over_dropped_mass_ratio,score_gap_swapped_norm_median,n_with_at_least_one_swap
128x64-raster,0.8,0.001436169957742095,0.008220978081226349,0.00039692167774774134,0.003239909652620554,5.724237606356238,0.004835489045259389,27257
128x64-raster,0.9,0.002832593861967325,0.013196868356317282,0.0007041400822345167,0.005251180846244097,4.6589341781428715,0.0046826558013372925,22674
128x64-raster,0.95,0.004627936985343695,0.01773400418460369,0.0011201495071873069,0.008133118972182274,3.8319459060842576,0.004227514650545548,17430
64x64-raster,0.8,0.0013218639651313424,0.008245181292295456,0.0003904887125827372,0.0031237532384693623,6.237541464016082,0.005007274193518157,27876
64x64-raster,0.9,0.00270231650210917,0.01332376804202795,0.0006920111482031643,0.0050772568210959435,4.93049871531654,0.004784417681205329,23013
64x64-raster,0.95,0.004351905547082424,0.018534214235842228,0.0010829647071659565,0.007778803585097194,4.258873276389883,0.004317309940545793,17428
64x64-cube,0.8,0.0006269566947594285,0.006928769405931234,0.00028704648138955235,0.0021735229529440403,11.051432202330806,0.004919434553998241,29597
64x64-cube,0.9,0.0014398210914805532,0.01167315011844039,0.0004896893806289881,0.0033587811049073935,8.107361523949486,0.0043670517553020625,25250
64x64-cube,0.95,0.0024470763746649027,0.016823790967464447,0.0008043130510486662,0.0050289020873606205,6.875057575498951,0.004183940835034903,19899
