geometry,sparsity,excess_quantization_mask_D_minus_C_median,excess_random_mask_Crand_minus_C_median,random_over_quantization_ratio,frac_cells_random_worse,n_paired_cells
128x64-raster,0.8,3.096088767051697e-05,0.0008359011262655258,26.998616291661655,0.6323529411764706,20400
128x64-raster,0.9,3.325752913951874e-05,0.0007204711437225342,21.663399607952954,0.616078431372549,20400
128x64-raster,0.95,9.519606828689575e-05,0.0009592734277248383,10.076817719339438,0.6162745098039216,20400
64x64-raster,0.8,2.0320992916822433e-05,0.0009566536173224449,47.07710992460872,0.6472549019607843,20400
64x64-raster,0.9,3.692135214805603e-05,0.0008601807057857513,23.297649076783372,0.6413235294117647,20400
64x64-raster,0.95,5.036592483520508e-05,0.0012186691164970398,24.19630177514793,0.6579901960784313,20400
64x64-cube,0.8,1.8441583961248398e-05,0.0013943426311016083,75.60861550892609,0.6767647058823529,20400
64x64-cube,0.9,2.898275852203369e-05,0.0012920722365379333,44.580719794344475,0.676813725490196,20400
64x64-cube,0.95,4.038214683532715e-05,0.0014423467218875885,35.71743542435424,0.6982843137254902,20400
