strategy,median_overlap_k,median_jaccard,median_union_over_k,median_reuse,p10_reuse,p90_reuse,n_pairs,median_reuse_interior_only
pr1719_current,0.7152777910232544,0.5567567348480225,1.2847222089767456,1.5567567348480225,1.274336338043213,1.8113207817077637,2332800,1.5319149494171143
horizontal,0.7152777910232544,0.5567567348480225,1.2847222089767456,1.5567567348480225,1.274336338043213,1.8113207817077637,4432320,1.5319149494171143
temporal,0.6875,0.523809552192688,1.3125,1.523809552192688,1.0786516666412354,1.8227847814559937,3888000,1.548387050628662
vertical,0.6180555820465088,0.44723618030548096,1.3819444179534912,1.447236180305481,1.1803278923034668,1.7560975551605225,4276800,1.4257426261901855
