geometry,group_size,median_union_over_k,median_reuse,p10_reuse,p90_reuse,n_groups
g2_temporal_2x1x1,2,1.3194444179534912,1.51578950881958,1.0666667222976685,1.8113207817077637,2332800
g2_pr1719_1x1x2,2,1.2847222089767456,1.5567567348480225,1.274336338043213,1.8113207817077637,2332800
g4_spatial_1x2x2,4,1.7777777910232544,2.25,1.6991150379180908,3.080213785171509,1166400
g4_wrun_1x1x4,4,1.7777777910232544,2.25,1.645714282989502,3.113513469696045,1166400
g4_temporal_2x1x2,4,1.7708333730697632,2.2588236331939697,1.7560975551605225,2.9538462162017822,1166400
g8_slab_1x2x4,8,2.3958332538604736,3.339130401611328,2.3606557846069336,5.2602739334106445,583200
g8_cube_2x2x2,8,2.375,3.3684210777282715,2.6181817054748535,4.535433292388916,583200
