timestep,sparsity,routing_precision,retained_fraction,n,insufficient_n,native_or_simulated,n_jaccard,jaccard_median,jaccard_q1,jaccard_q3,jaccard_iqr,jaccard_mean,jaccard_p10,jaccard_p90,jaccard_min,jaccard_max,n_recall,recall_median,recall_q1,recall_q3,recall_iqr,recall_mean,recall_p10,recall_p90,recall_min,recall_max,decision_margin_reference_median,n_decision_margin_reference,decision_margin_candidate_median,n_decision_margin_candidate,frac_query_blocks_changed_median,n_frac_query_blocks_changed,boundary_ties_median,n_boundary_ties,spearman_rho_median,n_spearman_rho,sat_frac_q_median,n_sat_frac_q
0,0.95,nvfp4_sim,0.05,7200,False,simulated,7200,0.952192,0.935728,0.964581,0.028853,0.947167,0.916747,0.972733,0.750888,0.998199,7200,0.975511,0.966797,0.981971,0.015174,0.97269,0.956566,0.986178,0.857722,0.999099,0.002396,7200,0.002365,7200,0.546875,7200,111.0,7200,0.999677,7200,0.106265,7200
5,0.5,fp8_e4m3,0.5,7200,False,simulated,7200,0.995889,0.994795,0.996588,0.001793,0.995109,0.992248,0.997135,0.93256,0.998506,7200,0.99794,0.997391,0.998291,0.0009,0.997546,0.996109,0.998566,0.965103,0.999252,0.000622,7200,0.000626,7200,0.46875,7200,100.0,7200,,0,1e-06,7200
5,0.5,nvfp4,0.5,7200,False,native,7200,0.98844,0.985097,0.990645,0.005547,0.986949,0.979937,0.992127,0.935299,0.99601,7200,0.994186,0.992493,0.9953,0.002808,0.993423,0.989867,0.996048,0.966568,0.998001,0.000622,7200,0.000626,7200,0.867188,7200,100.0,7200,,0,0.106865,7200
5,0.5,nvfp4_sim,0.5,7200,False,simulated,7200,0.98844,0.985037,0.990645,0.005607,0.986931,0.97991,0.992097,0.935413,0.995767,7200,0.994186,0.992462,0.9953,0.002838,0.993414,0.989853,0.996033,0.966629,0.997879,0.000622,7200,0.000626,7200,0.867188,7200,100.0,7200,,0,0.106701,7200
5,0.7,fp8_e4m3,0.3,7200,False,simulated,7200,0.99388,0.991916,0.995091,0.003175,0.992636,0.987999,0.995899,0.888258,0.997922,7200,0.996931,0.995942,0.99754,0.001598,0.996299,0.993963,0.997945,0.940823,0.99896,0.000759,7200,0.000751,7200,0.425781,7200,114.0,7200,,0,1e-06,7200
5,0.7,nvfp4,0.3,7200,False,native,7200,0.984047,0.978818,0.987397,0.008579,0.981727,0.970412,0.989559,0.8927,0.994536,7200,0.991959,0.989296,0.993659,0.004363,0.990759,0.984984,0.994752,0.943309,0.997261,0.000759,7200,0.000759,7200,0.800781,7200,114.0,7200,,0,0.106865,7200
5,0.7,nvfp4_sim,0.3,7200,False,simulated,7200,0.984047,0.978818,0.987397,0.008579,0.981705,0.970412,0.989554,0.891157,0.994637,7200,0.991959,0.989296,0.993659,0.004363,0.990748,0.984984,0.994749,0.942446,0.997311,0.000759,7200,0.000751,7200,0.800781,7200,114.0,7200,,0,0.106701,7200
5,0.8,fp8_e4m3,0.2,7200,False,simulated,7200,0.992293,0.988912,0.993875,0.004963,0.990335,0.983451,0.995006,0.855138,0.997576,7200,0.996132,0.994425,0.996928,0.002503,0.995134,0.991657,0.997497,0.921913,0.998786,0.000946,7200,0.000946,7200,0.371094,7200,118.0,7200,,0,1e-06,7200
5,0.8,nvfp4,0.2,7200,False,native,7200,0.980546,0.973579,0.98487,0.011291,0.977554,0.963804,0.987338,0.857883,0.993272,7200,0.990177,0.986613,0.992377,0.005765,0.988618,0.981569,0.993629,0.923506,0.996625,0.000946,7200,0.000942,7200,0.726562,7200,117.0,7200,,0,0.106865,7200
5,0.8,nvfp4_sim,0.2,7200,False,simulated,7200,0.980546,0.973579,0.984814,0.011235,0.977537,0.963797,0.987338,0.857686,0.993498,7200,0.990177,0.986613,0.992349,0.005736,0.98861,0.981565,0.993629,0.923392,0.996738,0.000946,7200,0.000946,7200,0.726562,7200,117.0,7200,,0,0.106701,7200
