head,n,insufficient_n,native_or_simulated,n_jaccard,jaccard_median,jaccard_q1,jaccard_q3,jaccard_iqr,jaccard_mean,jaccard_p10,jaccard_p90,jaccard_min,jaccard_max,n_recall,recall_median,recall_q1,recall_q3,recall_iqr,recall_mean,recall_p10,recall_p90,recall_min,recall_max,decision_margin_reference_median,n_decision_margin_reference,decision_margin_candidate_median,n_decision_margin_candidate,frac_query_blocks_changed_median,n_frac_query_blocks_changed,boundary_ties_median,n_boundary_ties,spearman_rho_median,n_spearman_rho,sat_frac_q_median,n_sat_frac_q
0,6000,False,native,6000,0.981737,0.976371,0.985168,0.008798,0.979188,0.967313,0.987563,0.925445,0.99267,6000,0.990784,0.988044,0.992529,0.004485,0.989462,0.983385,0.993742,0.961279,0.996321,0.001106,6000,0.001099,6000,0.710938,6000,94.0,6000,0.999784,3000,0.106243,6000
1,6000,False,native,6000,0.981141,0.975131,0.985019,0.009888,0.978196,0.966147,0.987563,0.904583,0.99282,6000,0.990481,0.987409,0.992453,0.005044,0.988946,0.982782,0.993742,0.949901,0.996397,0.001038,6000,0.001045,6000,0.722656,6000,114.0,6000,0.999777,3000,0.106243,6000
2,6000,False,native,6000,0.978614,0.970776,0.983227,0.012451,0.975475,0.959863,0.986739,0.920886,0.99267,6000,0.989191,0.985171,0.991543,0.006371,0.987551,0.979521,0.993325,0.958814,0.996321,0.000801,6000,0.000757,6000,0.761719,6000,125.0,6000,0.999745,3000,0.106243,6000
3,6000,False,native,6000,0.980323,0.97166,0.984197,0.012537,0.976925,0.964024,0.986589,0.918301,0.991691,6000,0.990064,0.985627,0.992036,0.006409,0.9883,0.981682,0.993249,0.95741,0.995828,0.0009,6000,0.000904,6000,0.738281,6000,113.0,6000,0.99975,3000,0.106243,6000
4,6000,False,native,6000,0.980323,0.973357,0.98487,0.011512,0.977546,0.962635,0.987563,0.908788,0.992971,6000,0.990064,0.986499,0.992377,0.005878,0.988617,0.980962,0.993742,0.952215,0.996473,0.000996,6000,0.001007,6000,0.734375,6000,101.0,6000,0.999766,3000,0.106243,6000
5,6000,False,native,6000,0.980918,0.975057,0.985094,0.010037,0.979121,0.968643,0.987862,0.882891,0.993197,6000,0.990367,0.987371,0.992491,0.00512,0.989431,0.984072,0.993894,0.937803,0.996587,0.001045,6000,0.00103,6000,0.71875,6000,117.0,6000,0.999786,3000,0.106243,6000
6,6000,False,native,6000,0.980992,0.975205,0.984496,0.009291,0.978557,0.966294,0.986814,0.93861,0.991992,6000,0.990405,0.987447,0.992188,0.004741,0.989143,0.982858,0.993363,0.968333,0.99598,0.000904,6000,0.000904,6000,0.726562,6000,116.0,6000,0.99979,3000,0.106243,6000
7,6000,False,native,6000,0.981141,0.973283,0.985168,0.011885,0.977879,0.965561,0.987188,0.894117,0.991541,6000,0.990481,0.986461,0.992529,0.006068,0.988786,0.982479,0.993553,0.944099,0.995752,0.001114,6000,0.001114,6000,0.722656,6000,105.0,6000,0.999785,3000,0.106243,6000
8,6000,False,native,6000,0.9801,0.973653,0.98375,0.010097,0.97655,0.961686,0.986148,0.857883,0.991466,6000,0.98995,0.98665,0.991808,0.005158,0.988097,0.980469,0.993026,0.923506,0.995715,0.0,6000,0.0,6000,0.742188,6000,128.0,6000,0.999768,3000,0.106243,6000
9,6000,False,native,6000,0.980918,0.97225,0.985094,0.012843,0.976415,0.95514,0.987263,0.901698,0.993046,6000,0.990367,0.98593,0.992491,0.006561,0.988026,0.977056,0.993591,0.948309,0.996511,0.000984,6000,0.000984,6000,0.730469,6000,108.0,6000,0.999784,3000,0.106243,6000
10,6000,False,native,6000,0.980695,0.97321,0.984795,0.011585,0.977347,0.963073,0.987188,0.899028,0.993272,6000,0.990253,0.986423,0.992339,0.005916,0.988511,0.981189,0.993553,0.946829,0.996625,0.000893,6000,0.000887,6000,0.730469,6000,122.0,6000,0.999781,3000,0.106243,6000
11,6000,False,native,6000,0.981216,0.971734,0.985692,0.013958,0.977552,0.961102,0.988012,0.928261,0.99282,6000,0.990519,0.985664,0.992794,0.00713,0.988617,0.980165,0.99397,0.962796,0.996397,0.001099,6000,0.001076,6000,0.71875,6000,107.0,6000,0.999775,3000,0.106243,6000
