layer,timestep,n,insufficient_n,native_or_simulated,n_jaccard,jaccard_median,jaccard_q1,jaccard_q3,jaccard_iqr,jaccard_mean,jaccard_p10,jaccard_p90,jaccard_min,jaccard_max,n_recall,recall_median,recall_q1,recall_q3,recall_iqr,recall_mean,recall_p10,recall_p90,recall_min,recall_max,decision_margin_reference_median,n_decision_margin_reference,decision_margin_candidate_median,n_decision_margin_candidate,frac_query_blocks_changed_median,n_frac_query_blocks_changed,boundary_ties_median,n_boundary_ties,spearman_rho_median,n_spearman_rho,sat_frac_q_median,n_sat_frac_q
0,0,24,False,native,24,0.967542,0.959427,0.972455,0.013027,0.965518,0.954488,0.975501,0.936261,0.988087,24,0.983503,0.979293,0.986034,0.006741,0.982416,0.976714,0.987599,0.967081,0.994008,0.000637,24,0.001354,24,0.904297,24,123.0,24,0.99926,24,0.096604,24
0,1,24,False,native,24,0.968827,0.958317,0.973118,0.014801,0.965678,0.954706,0.97676,0.93484,0.987937,24,0.984166,0.978715,0.986376,0.007661,0.982495,0.976828,0.988243,0.966323,0.993932,0.001347,24,0.001358,24,0.884766,24,121.5,24,,0,0.09667,24
0,2,24,False,native,24,0.965892,0.95543,0.97321,0.017779,0.964949,0.953041,0.974392,0.941322,0.987937,24,0.982649,0.977207,0.986423,0.009216,0.982125,0.975956,0.98703,0.969774,0.993932,0.00145,24,0.001343,24,0.892578,24,108.0,24,,0,0.096382,24
0,3,24,False,native,24,0.963768,0.955884,0.972103,0.016219,0.965235,0.954126,0.976982,0.943468,0.989737,24,0.98155,0.977444,0.985854,0.00841,0.982273,0.976525,0.988357,0.970912,0.994842,0.001381,24,0.001301,24,0.917969,24,111.5,24,,0,0.096028,24
0,4,24,False,native,24,0.964428,0.959795,0.973136,0.013341,0.965446,0.952896,0.976315,0.941393,0.989587,24,0.981891,0.979483,0.986385,0.006902,0.982381,0.97588,0.988016,0.969812,0.994766,0.000595,24,0.001251,24,0.886719,24,114.5,24,,0,0.09569,24
0,5,24,False,native,24,0.962927,0.958573,0.972546,0.013974,0.965009,0.952245,0.976241,0.943181,0.989287,24,0.981113,0.978847,0.986082,0.007234,0.982156,0.975539,0.987978,0.97076,0.994615,0.00135,24,0.001293,24,0.900391,24,111.0,24,,0,0.095452,24
0,6,24,False,native,24,0.9645,0.957972,0.971883,0.013911,0.964821,0.951306,0.976686,0.94218,0.988762,24,0.981929,0.978535,0.98574,0.007206,0.982058,0.975046,0.988205,0.970229,0.994349,0.001343,24,0.001209,24,0.910156,24,113.5,24,,0,0.095203,24
0,7,24,False,native,24,0.962745,0.958208,0.972141,0.013932,0.964835,0.951017,0.978243,0.942394,0.988312,24,0.981019,0.978658,0.985873,0.007215,0.982065,0.974894,0.989002,0.970343,0.994122,0.00111,24,0.000546,24,0.900391,24,122.0,24,,0,0.095028,24
0,8,24,False,native,24,0.963038,0.959063,0.97144,0.012378,0.964897,0.952679,0.978243,0.943539,0.989362,24,0.98117,0.979103,0.985513,0.006409,0.9821,0.975766,0.989002,0.97095,0.994653,0.000702,24,0.001148,24,0.917969,24,121.5,24,,0,0.094885,24
0,9,24,False,native,24,0.9626,0.95828,0.970961,0.012681,0.964654,0.952679,0.978614,0.945906,0.988687,24,0.980943,0.978696,0.985266,0.00657,0.981976,0.975766,0.989191,0.972201,0.994311,0.000702,24,0.001312,24,0.908203,24,113.5,24,,0,0.094766,24
0,10,24,False,native,24,0.962343,0.959645,0.971183,0.011538,0.964493,0.95008,0.977946,0.944543,0.988687,24,0.98081,0.979407,0.98538,0.005973,0.981891,0.974401,0.98885,0.971481,0.994311,0.000603,24,0.001301,24,0.912109,24,113.5,24,0.999281,24,0.094698,24
