head,n,insufficient_n,native_or_simulated,n_jaccard,jaccard_median,jaccard_q1,jaccard_q3,jaccard_iqr,jaccard_mean,jaccard_p10,jaccard_p90,jaccard_min,jaccard_max,n_recall,recall_median,recall_q1,recall_q3,recall_iqr,recall_mean,recall_p10,recall_p90,recall_min,recall_max,decision_margin_reference_median,n_decision_margin_reference,decision_margin_candidate_median,n_decision_margin_candidate,frac_query_blocks_changed_median,n_frac_query_blocks_changed,boundary_ties_median,n_boundary_ties,spearman_rho_median,n_spearman_rho,sat_frac_q_median,n_sat_frac_q
0,3000,False,native,3000,0.973903,0.96382,0.9811,0.01728,0.970566,0.951191,0.987459,0.901307,0.992814,3000,0.986779,0.981577,0.99046,0.008883,0.985001,0.974985,0.99369,0.948092,0.996394,0.001804,3000,0.001785,3000,0.582031,3000,90.0,3000,0.999751,300,0.1055,3000
1,3000,False,native,3000,0.975221,0.963277,0.983461,0.020184,0.970442,0.944919,0.987771,0.900493,0.992218,3000,0.987455,0.981295,0.991662,0.010367,0.984922,0.97168,0.993848,0.947641,0.996094,0.001999,3000,0.002014,3000,0.558594,3000,98.0,3000,0.999717,300,0.1055,3000
2,3000,False,native,3000,0.972513,0.957467,0.979038,0.021571,0.966754,0.940086,0.98287,0.906344,0.993113,3000,0.986065,0.978271,0.989408,0.011137,0.983026,0.969118,0.991361,0.950871,0.996544,0.001766,3000,0.001709,3000,0.597656,3000,112.0,3000,0.99969,300,0.1055,3000
3,3000,False,native,3000,0.972733,0.958655,0.98051,0.021855,0.967738,0.941784,0.98494,0.890641,0.993411,3000,0.986178,0.978891,0.990159,0.011268,0.983528,0.97002,0.992413,0.942157,0.996695,0.001709,3000,0.001709,3000,0.597656,3000,99.0,3000,0.999719,300,0.1055,3000
4,3000,False,native,3000,0.971418,0.957071,0.979774,0.022702,0.966386,0.939535,0.98494,0.834367,0.990877,3000,0.985502,0.978065,0.989784,0.011719,0.982821,0.968825,0.992413,0.909706,0.995418,0.001785,3000,0.001785,3000,0.613281,3000,106.0,3000,0.999743,300,0.1055,3000
5,3000,False,native,3000,0.971199,0.959088,0.97845,0.019362,0.96826,0.950048,0.984496,0.906344,0.993262,3000,0.985389,0.979117,0.989108,0.009991,0.983821,0.974384,0.992188,0.950871,0.99662,0.001656,3000,0.001667,3000,0.613281,3000,112.0,3000,0.999771,300,0.1055,3000
6,3000,False,native,3000,0.973025,0.961686,0.979038,0.017352,0.968925,0.947879,0.985236,0.906754,0.992814,3000,0.986328,0.980469,0.989408,0.008939,0.984153,0.973242,0.992563,0.951097,0.996394,0.001564,3000,0.001564,3000,0.597656,3000,111.0,3000,0.99976,300,0.1055,3000
7,3000,False,native,3000,0.973025,0.958943,0.978744,0.019801,0.965306,0.945346,0.983461,0.803183,0.99371,3000,0.986328,0.979041,0.989258,0.010216,0.982153,0.971905,0.991662,0.89085,0.996845,0.001907,3000,0.001892,3000,0.597656,3000,101.0,3000,0.99973,300,0.1055,3000
8,3000,False,native,3000,0.972294,0.960675,0.978744,0.018069,0.966302,0.941487,0.981985,0.825312,0.989687,3000,0.985953,0.979943,0.989258,0.009315,0.982764,0.969862,0.99091,0.904297,0.994817,0.001675,3000,0.001686,3000,0.605469,3000,110.0,3000,0.999734,300,0.1055,3000
9,3000,False,native,3000,0.973025,0.960819,0.979185,0.018366,0.964647,0.927585,0.985103,0.820818,0.992814,3000,0.986328,0.980018,0.989483,0.009465,0.981841,0.962432,0.992495,0.901593,0.996394,0.00156,3000,0.001564,3000,0.59375,3000,98.0,3000,0.999758,300,0.1055,3000
10,3000,False,native,3000,0.971126,0.959953,0.980363,0.02041,0.968019,0.945758,0.98568,0.902122,0.991473,3000,0.985352,0.979567,0.990084,0.010517,0.983684,0.972123,0.992788,0.948543,0.995718,0.001663,3000,0.001663,3000,0.617188,3000,111.0,3000,0.999731,300,0.1055,3000
11,3000,False,native,3000,0.972733,0.955778,0.980363,0.024585,0.965361,0.947908,0.984496,0.844278,0.991473,3000,0.986178,0.977389,0.990084,0.012695,0.982213,0.973257,0.992188,0.915565,0.995718,0.001709,3000,0.001709,3000,0.597656,3000,103.0,3000,0.999735,300,0.1055,3000
