timestep,sparsity,routing_precision,retained_fraction,n,insufficient_n,native_or_simulated,n_jaccard,jaccard_median,jaccard_q1,jaccard_q3,jaccard_iqr,jaccard_mean,jaccard_p10,jaccard_p90,jaccard_min,jaccard_max,n_recall,recall_median,recall_q1,recall_q3,recall_iqr,recall_mean,recall_p10,recall_p90,recall_min,recall_max,decision_margin_reference_median,n_decision_margin_reference,decision_margin_candidate_median,n_decision_margin_candidate,frac_query_blocks_changed_median,n_frac_query_blocks_changed,boundary_ties_median,n_boundary_ties,spearman_rho_median,n_spearman_rho,sat_frac_q_median,n_sat_frac_q
3,0.8,fp8_e4m3,0.2,720,False,simulated,720,0.994931,0.993272,0.995988,0.002716,0.994006,0.990473,0.996593,0.976241,0.998484,720,0.997459,0.996625,0.99799,0.001365,0.996991,0.995214,0.998293,0.987978,0.999242,0.001142,720,0.001157,720,0.257812,720,0.0,720,,0,1e-06,720
3,0.8,nvfp4,0.2,720,False,native,720,0.981662,0.974817,0.985467,0.010651,0.978236,0.964455,0.988162,0.895615,0.992143,720,0.990746,0.987248,0.992681,0.005433,0.988962,0.981906,0.994046,0.944933,0.996056,0.001142,720,0.001158,720,0.71875,720,0.0,720,,0,0.106646,720
3,0.8,nvfp4_sim,0.2,720,False,simulated,720,0.981662,0.974539,0.985561,0.011021,0.978205,0.964389,0.988162,0.895342,0.992143,720,0.990746,0.987106,0.992728,0.005622,0.988946,0.981872,0.994046,0.944782,0.996056,0.001142,720,0.00116,720,0.716797,720,0.0,720,,0,0.106477,720
3,0.9,fp8_e4m3,0.1,720,False,simulated,720,0.992814,0.989538,0.994755,0.005217,0.991308,0.985384,0.996101,0.917327,0.998649,720,0.996394,0.994742,0.997371,0.002629,0.995625,0.992638,0.998047,0.956881,0.999324,0.001635,720,0.001687,720,0.183594,720,0.0,720,,0,1e-06,720
3,0.9,nvfp4,0.1,720,False,native,720,0.973171,0.963639,0.9811,0.017461,0.969697,0.951448,0.985399,0.820196,0.994008,720,0.986403,0.981483,0.99046,0.008977,0.984526,0.97512,0.992646,0.901217,0.996995,0.001635,720,0.001654,720,0.59375,720,0.0,720,,0,0.106646,720
3,0.9,nvfp4_sim,0.1,720,False,simulated,720,0.973171,0.963856,0.9811,0.017243,0.969639,0.95132,0.985399,0.820569,0.993859,720,0.986403,0.981596,0.99046,0.008864,0.984496,0.975053,0.992646,0.901442,0.99692,0.001635,720,0.001637,720,0.591797,720,0.0,720,,0,0.106477,720
4,0.8,fp8_e4m3,0.2,720,False,simulated,720,0.995006,0.993347,0.996064,0.002716,0.99411,0.990413,0.996668,0.975057,0.998257,720,0.997497,0.996663,0.998028,0.001365,0.997044,0.995184,0.998331,0.987371,0.999128,0.001168,720,0.001164,720,0.25,720,0.0,720,,0,1e-06,720
4,0.8,nvfp4,0.2,720,False,native,720,0.982184,0.975131,0.985916,0.010785,0.978504,0.964887,0.988312,0.892825,0.991992,720,0.991012,0.987409,0.992908,0.005499,0.989099,0.98213,0.994122,0.943378,0.99598,0.001168,720,0.001177,720,0.707031,720,0.0,720,,0,0.106688,720
4,0.8,nvfp4_sim,0.2,720,False,simulated,720,0.982258,0.974983,0.98586,0.010877,0.978461,0.964668,0.988387,0.892961,0.991766,720,0.99105,0.987333,0.99288,0.005546,0.989077,0.982016,0.99416,0.943454,0.995866,0.001168,720,0.001167,720,0.703125,720,0.0,720,,0,0.106509,720
4,0.9,fp8_e4m3,0.1,720,False,simulated,720,0.992964,0.989836,0.994905,0.005069,0.991442,0.985813,0.996251,0.915809,0.998799,720,0.996469,0.994892,0.997446,0.002554,0.995692,0.992856,0.998122,0.956055,0.999399,0.001662,720,0.001656,720,0.183594,720,0.0,720,,0,1e-06,720
4,0.9,nvfp4,0.1,720,False,native,720,0.973756,0.964835,0.981395,0.01656,0.970087,0.950891,0.985976,0.831087,0.992516,720,0.986704,0.982103,0.99061,0.008507,0.984729,0.974827,0.992939,0.907752,0.996244,0.001662,720,0.001688,720,0.582031,720,0.0,720,,0,0.106688,720
4,0.9,nvfp4_sim,0.1,720,False,simulated,720,0.974049,0.965016,0.981247,0.016231,0.970085,0.951477,0.985843,0.830206,0.992516,720,0.986854,0.982197,0.990535,0.008338,0.984728,0.975135,0.992871,0.907227,0.996244,0.001662,720,0.001682,720,0.583984,720,0.0,720,,0,0.106509,720
5,0.8,fp8_e4m3,0.2,720,False,simulated,720,0.995006,0.993574,0.996064,0.00249,0.994162,0.990699,0.996819,0.975945,0.998106,720,0.997497,0.996776,0.998028,0.001252,0.99707,0.995328,0.998407,0.987826,0.999052,0.001181,720,0.001161,720,0.25,720,0.0,720,,0,1e-06,720
