sparsity,routing_precision,retained_fraction,n,insufficient_n,native_or_simulated,n_jaccard,jaccard_median,jaccard_q1,jaccard_q3,jaccard_iqr,jaccard_mean,jaccard_p10,jaccard_p90,jaccard_min,jaccard_max,n_recall,recall_median,recall_q1,recall_q3,recall_iqr,recall_mean,recall_p10,recall_p90,recall_min,recall_max,decision_margin_reference_median,n_decision_margin_reference,decision_margin_candidate_median,n_decision_margin_candidate,frac_query_blocks_changed_median,n_frac_query_blocks_changed,boundary_ties_median,n_boundary_ties,spearman_rho_median,n_spearman_rho,sat_frac_q_median,n_sat_frac_q
0.8,fp8_e4m3,0.2,36000,False,simulated,36000,0.995006,0.993272,0.996064,0.002791,0.994189,0.990714,0.996744,0.970555,0.998787,36000,0.997497,0.996625,0.998028,0.001403,0.997084,0.995335,0.998369,0.985058,0.999393,0.001147,36000,0.00115,36000,0.25,36000,0.0,36000,0.999974,3600,1e-06,36000
0.8,nvfp4,0.2,36000,False,native,36000,0.981588,0.973283,0.985916,0.012633,0.97794,0.962781,0.988387,0.888284,0.99395,36000,0.990708,0.986461,0.992908,0.006447,0.988812,0.981038,0.99416,0.940837,0.996966,0.001147,36000,0.001146,36000,0.714844,36000,0.0,36000,0.999752,3600,0.1055,36000
0.8,nvfp4_sim,0.2,36000,False,simulated,36000,0.981513,0.97321,0.985916,0.012706,0.977896,0.962781,0.988387,0.888217,0.993875,36000,0.990671,0.986423,0.992908,0.006485,0.988789,0.981038,0.99416,0.940799,0.996928,0.001147,36000,0.001147,36000,0.714844,36000,0.0,36000,0.999751,3600,0.105336,36000
0.9,fp8_e4m3,0.1,36000,False,simulated,36000,0.993411,0.990728,0.995054,0.004326,0.992028,0.986569,0.996251,0.910859,0.999099,36000,0.996695,0.995343,0.997521,0.002178,0.995989,0.993239,0.998122,0.95335,0.999549,0.001723,36000,0.001724,36000,0.167969,36000,0.0,36000,0.999974,3600,1e-06,36000
0.9,nvfp4,0.1,36000,False,native,36000,0.975807,0.963711,0.981985,0.018273,0.970373,0.94805,0.986421,0.805507,0.994307,36000,0.987755,0.98152,0.99091,0.00939,0.984873,0.973332,0.993164,0.892278,0.997145,0.001723,36000,0.001717,36000,0.550781,36000,0.0,36000,0.999752,3600,0.1055,36000
0.9,nvfp4_sim,0.1,36000,False,simulated,36000,0.975807,0.963567,0.981985,0.018418,0.97034,0.94805,0.986421,0.805629,0.994457,36000,0.987755,0.981445,0.99091,0.009465,0.984856,0.973332,0.993164,0.892353,0.997221,0.001723,36000,0.00172,36000,0.550781,36000,0.0,36000,0.999751,3600,0.105336,36000
