head,n,insufficient_n,native_or_simulated,n_jaccard,jaccard_median,jaccard_q1,jaccard_q3,jaccard_iqr,jaccard_mean,jaccard_p10,jaccard_p90,jaccard_min,jaccard_max,n_recall,recall_median,recall_q1,recall_q3,recall_iqr,recall_mean,recall_p10,recall_p90,recall_min,recall_max,decision_margin_reference_median,n_decision_margin_reference,decision_margin_candidate_median,n_decision_margin_candidate,frac_query_blocks_changed_median,n_frac_query_blocks_changed,boundary_ties_median,n_boundary_ties,spearman_rho_median,n_spearman_rho,sat_frac_q_median,n_sat_frac_q
0,3000,False,native,3000,0.982184,0.976019,0.986066,0.010046,0.978892,0.967387,0.988237,0.921936,0.992293,3000,0.991012,0.987864,0.992984,0.00512,0.9893,0.983423,0.994084,0.959383,0.996132,0.001211,3000,0.001214,3000,0.695312,3000,0.0,3000,0.999761,300,0.1055,3000
1,3000,False,native,3000,0.981737,0.974373,0.986215,0.011842,0.978198,0.963578,0.988837,0.925655,0.992971,3000,0.990784,0.98702,0.99306,0.00604,0.988943,0.981451,0.994387,0.961393,0.996473,0.001164,3000,0.00116,3000,0.710938,3000,0.0,3000,0.999737,300,0.1055,3000
2,3000,False,native,3000,0.979208,0.971587,0.984496,0.012909,0.97663,0.963073,0.988312,0.932075,0.993272,3000,0.989495,0.985589,0.992188,0.006599,0.988145,0.981189,0.994122,0.964844,0.996625,0.00111,3000,0.001109,3000,0.757812,3000,0.0,3000,0.999711,300,0.1055,3000
3,3000,False,native,3000,0.98129,0.971218,0.985318,0.0141,0.978001,0.964316,0.987563,0.937897,0.992368,3000,0.990557,0.985399,0.992605,0.007206,0.988854,0.981834,0.993742,0.967954,0.99617,0.001091,3000,0.001092,3000,0.726562,3000,0.0,3000,0.999739,300,0.1055,3000
4,3000,False,native,3000,0.982035,0.973044,0.986159,0.013116,0.978425,0.962197,0.988687,0.904514,0.99395,3000,0.990936,0.986338,0.993031,0.006694,0.989063,0.980734,0.994311,0.949863,0.996966,0.001185,3000,0.001177,3000,0.699219,3000,0.0,3000,0.999771,300,0.1055,3000
5,3000,False,native,3000,0.983377,0.974447,0.986739,0.012292,0.979966,0.966286,0.989287,0.944184,0.993197,3000,0.991619,0.987058,0.993325,0.006267,0.989858,0.982854,0.994615,0.971291,0.996587,0.001201,3000,0.001196,3000,0.667969,3000,0.0,3000,0.999779,300,0.1055,3000
6,3000,False,native,3000,0.981365,0.975871,0.985019,0.009148,0.979456,0.968716,0.988087,0.939037,0.992895,3000,0.990595,0.987788,0.992453,0.004665,0.989604,0.98411,0.994008,0.96856,0.996435,0.001108,3000,0.001114,3000,0.71875,3000,0.0,3000,0.999772,300,0.1055,3000
7,3000,False,native,3000,0.981476,0.972398,0.985991,0.013593,0.976998,0.960665,0.988312,0.888284,0.992971,3000,0.990652,0.986006,0.992946,0.00694,0.988311,0.979938,0.994122,0.940837,0.996473,0.001159,3000,0.001169,3000,0.71875,3000,0.0,3000,0.999752,300,0.1055,3000
8,3000,False,native,3000,0.980472,0.972545,0.985168,0.012623,0.977736,0.964829,0.987338,0.912388,0.99267,3000,0.99014,0.986082,0.992529,0.006447,0.988716,0.9821,0.993629,0.954187,0.996321,0.001115,3000,0.001104,3000,0.742188,3000,0.0,3000,0.999747,300,0.1055,3000
9,3000,False,native,3000,0.981439,0.971734,0.98614,0.014406,0.976042,0.950368,0.988087,0.892078,0.993347,3000,0.990633,0.985664,0.993022,0.007357,0.987819,0.974552,0.994008,0.942961,0.996663,0.00113,3000,0.001121,3000,0.720703,3000,0.0,3000,0.999765,300,0.1055,3000
10,3000,False,native,3000,0.982184,0.971808,0.986514,0.014707,0.977478,0.961175,0.988462,0.904721,0.992594,3000,0.991012,0.985702,0.993211,0.007509,0.988566,0.980203,0.994198,0.949977,0.996283,0.001135,3000,0.001137,3000,0.703125,3000,0.0,3000,0.999749,300,0.1055,3000
11,3000,False,native,3000,0.982407,0.97166,0.987038,0.015378,0.977459,0.959048,0.988987,0.93861,0.992368,3000,0.991126,0.985627,0.993477,0.00785,0.988559,0.979096,0.994463,0.968333,0.99617,0.00117,3000,0.001156,3000,0.695312,3000,0.0,3000,0.99975,300,0.1055,3000
