strategy,median_overlap_k,median_jaccard,median_union_over_k,median_reuse,p10_reuse,p90_reuse,n_pairs,median_reuse_interior_only
horizontal,0.6507936716079712,0.48235294222831726,1.3492064476013184,1.4823529720306396,1.2233009338378906,1.774647831916809,622080,1.4482758045196533
pr1719_current,0.6349206566810608,0.4651162922382355,1.365079402923584,1.465116262435913,1.1666666269302368,1.75,336960,1.4482758045196533
vertical,0.6349206566810608,0.4651162922382355,1.365079402923584,1.465116262435913,1.2000000476837158,1.774647831916809,589680,1.4482758045196533
temporal,0.6349206566810608,0.4651162922382355,1.365079402923584,1.465116262435913,1.0413223505020142,1.774647831916809,561600,1.4823529720306396
