geometry,group_size,median_union_over_k,median_reuse,p10_reuse,p90_reuse,n_groups
g2_pr1719_1x1x2,2,1.3492064476013184,1.4823529720306396,1.2233009338378906,1.774647831916809,311040
g2_temporal_2x1x1,2,1.3333333730697632,1.5,1.0413223505020142,1.7999999523162842,336960
g4_wrun_1x1x4,4,2.0,2.0,1.5089820623397827,2.8636362552642822,155520
g4_spatial_1x2x2,4,1.8571429252624512,2.153846263885498,1.6688741445541382,3.036144495010376,155520
g4_temporal_2x1x2,4,1.8571429252624512,2.153846263885498,1.7142857313156128,2.769230842590332,155520
g8_slab_1x2x4,8,2.682539939880371,2.982248544692993,2.220264434814453,4.941176414489746,77760
g8_cube_2x2x2,8,2.460317611694336,3.251612901687622,2.558375597000122,4.271186351776123,77760
