strategy,layer,median_reuse,median_overlap_k,median_jaccard,n
horizontal,0,1.7263513803482056,0.8412699103355408,0.7263513505458832,36
horizontal,1,1.4823529720306396,0.6507936716079712,0.48235294222831726,36
horizontal,2,1.4737346172332764,0.642857164144516,0.47373461723327637,36
horizontal,3,1.4482758045196533,0.6190476417541504,0.4482758641242981,36
horizontal,4,1.4823529720306396,0.6507936716079712,0.48235294222831726,36
horizontal,5,1.4823529720306396,0.6507936716079712,0.48235294222831726,36
horizontal,6,1.509036123752594,0.6746031939983368,0.5090361535549164,36
horizontal,7,1.518072247505188,0.682539701461792,0.5180723071098328,36
horizontal,8,1.615384578704834,0.7619048357009888,0.6153846383094788,36
horizontal,9,1.518072247505188,0.682539701461792,0.5180723071098328,36
horizontal,10,1.518072247505188,0.682539701461792,0.5180723071098328,36
horizontal,11,1.5365853309631348,0.6984127163887024,0.5365853905677795,36
horizontal,12,1.4911764860153198,0.6587301790714264,0.49117647111415863,36
horizontal,13,1.4482758045196533,0.6190476417541504,0.4482758641242981,36
horizontal,14,1.518072247505188,0.682539701461792,0.5180723071098328,36
horizontal,15,1.4823529720306396,0.6507936716079712,0.48235294222831726,36
horizontal,16,1.5273287892341614,0.6904762089252472,0.5273288488388062,36
horizontal,17,1.465116262435913,0.6349206566810608,0.4651162922382355,36
horizontal,18,1.3404254913330078,0.5079365372657776,0.3404255211353302,36
horizontal,19,1.4318181276321411,0.60317462682724,0.4318181872367859,36
horizontal,20,1.4078651666641235,0.5793651044368744,0.40786516666412354,36
horizontal,21,1.399999976158142,0.5714285969734192,0.4000000059604645,36
horizontal,22,1.399999976158142,0.5714285969734192,0.4000000059604645,36
horizontal,23,1.415730357170105,0.5873016119003296,0.4157303273677826,36
horizontal,24,1.3548387289047241,0.523809552192688,0.35483869910240173,36
horizontal,25,1.3585203289985657,0.5277777910232544,0.3585203289985657,36
horizontal,26,1.3695652484893799,0.5396825671195984,0.3695652186870575,36
horizontal,27,1.415730357170105,0.5873016119003296,0.4157303273677826,36
horizontal,28,1.4482758045196533,0.6190476417541504,0.4482758641242981,36
horizontal,29,1.465116262435913,0.6349206566810608,0.4651162922382355,36
pr1719_current,0,1.7143650650978088,0.8333334028720856,0.7143650352954865,36
pr1719_current,1,1.4823529720306396,0.6507936716079712,0.48235294222831726,36
pr1719_current,2,1.4566960334777832,0.6269841492176056,0.4566960781812668,36
pr1719_current,3,1.3961538672447205,0.5674603283405304,0.39615385234355927,36
pr1719_current,4,1.465116262435913,0.6349206566810608,0.4651162922382355,36
pr1719_current,5,1.4737346172332764,0.642857164144516,0.47373461723327637,36
pr1719_current,6,1.4911764860153198,0.6587301790714264,0.49117647111415863,36
pr1719_current,7,1.518072247505188,0.682539701461792,0.5180723071098328,36
pr1719_current,8,1.605160653591156,0.7539682984352112,0.6051606833934784,36
pr1719_current,9,1.5135541558265686,0.6785714626312256,0.5135542452335358,36
pr1719_current,10,1.4911764860153198,0.6587301790714264,0.49117647111415863,36
pr1719_current,11,1.518072247505188,0.682539701461792,0.5180723071098328,36
pr1719_current,12,1.4823529720306396,0.6507936716079712,0.48235294222831726,36
pr1719_current,13,1.423774242401123,0.5952380895614624,0.42377424240112305,36
pr1719_current,14,1.49558824300766,0.6626984179019928,0.4955882430076599,36
pr1719_current,15,1.465116262435913,0.6349206566810608,0.4651162922382355,36
pr1719_current,16,1.518072247505188,0.682539701461792,0.5180723071098328,36
pr1719_current,17,1.4482758045196533,0.6190476417541504,0.4482758641242981,36
pr1719_current,18,1.3263157606124878,0.4920635223388672,0.3263157904148102,36
pr1719_current,19,1.415730357170105,0.5873016119003296,0.4157303273677826,36
pr1719_current,20,1.399999976158142,0.5714285969734192,0.4000000059604645,36
pr1719_current,21,1.3961538672447205,0.5674603283405304,0.39615385234355927,36
pr1719_current,22,1.3808528780937195,0.5515873432159424,0.3808528482913971,36
pr1719_current,23,1.3961538672447205,0.5674603283405304,0.39615385234355927,36
pr1719_current,24,1.3333706259727478,0.5000000298023224,0.3333706557750702,36
pr1719_current,25,1.3404254913330078,0.5079365372657776,0.3404255211353302,36
pr1719_current,26,1.3512354493141174,0.5198413133621216,0.35123540461063385,36
pr1719_current,27,1.399999976158142,0.5714285969734192,0.4000000059604645,36
pr1719_current,28,1.415730357170105,0.5873016119003296,0.4157303273677826,36
pr1719_current,29,1.4482758045196533,0.6190476417541504,0.4482758641242981,36
temporal,0,1.3695652484893799,0.5396825671195984,0.3695652186870575,36
temporal,1,1.4566960334777832,0.6269841492176056,0.4566960781812668,36
temporal,2,1.3404254913330078,0.5079365372657776,0.3404255211353302,36
temporal,3,1.5460704565048218,0.7063492238521576,0.5460704863071442,36
temporal,4,1.5750000476837158,0.7301587462425232,0.574999988079071,36
temporal,5,1.4082167744636536,0.5793651044368744,0.40821678936481476,36
temporal,6,1.594936728477478,0.7460317611694336,0.594936728477478,36
temporal,7,1.4318181276321411,0.60317462682724,0.4318181872367859,36
temporal,8,1.319407880306244,0.484127014875412,0.3194078952074051,36
temporal,9,1.537500023841858,0.6984127163887024,0.5374999940395355,36
temporal,10,1.6000487208366394,0.7500000298023224,0.6000487208366394,36
temporal,11,1.6476922631263733,0.7857143580913544,0.6476923227310181,36
temporal,12,1.484201729297638,0.6507936716079712,0.4842017889022827,36
temporal,13,1.7260273694992065,0.8412699103355408,0.7260273694992065,36
temporal,14,1.4490416646003723,0.6190476417541504,0.4490416347980499,36
temporal,15,1.6799999475479126,0.80952388048172,0.6800000071525574,36
temporal,16,1.584968388080597,0.7380952537059784,0.5849683582782745,36
temporal,17,1.5048408508300781,0.670634925365448,0.5048408955335617,36
temporal,18,1.7027027606964111,0.8253968954086304,0.7027027010917664,36
temporal,19,1.5657610297203064,0.722222238779068,0.5657610595226288,36
temporal,20,1.392307698726654,0.563492089509964,0.39230769872665405,36
temporal,21,1.3695652484893799,0.5396825671195984,0.3695652186870575,36
