strategy,head,median_reuse,median_overlap_k,median_jaccard,n
horizontal,0,1.423774242401123,0.5952381193637848,0.42377425730228424,90
horizontal,1,1.4566960334777832,0.6269841492176056,0.4566960781812668,90
horizontal,2,1.4911764860153198,0.6587301790714264,0.49117647111415863,90
horizontal,3,1.4318181276321411,0.60317462682724,0.4318181872367859,90
horizontal,4,1.465116262435913,0.6349206566810608,0.4651162922382355,90
horizontal,5,1.5365853309631348,0.6984127163887024,0.5365853905677795,90
horizontal,6,1.4823529720306396,0.6507936716079712,0.48235294222831726,90
horizontal,7,1.4823529720306396,0.6507936716079712,0.48235294222831726,90
horizontal,8,1.4566960334777832,0.6269841492176056,0.4566960781812668,90
horizontal,9,1.465116262435913,0.6349206566810608,0.4651162922382355,90
horizontal,10,1.465116262435913,0.6349206566810608,0.4651162922382355,90
horizontal,11,1.4482758045196533,0.6190476417541504,0.4482758641242981,90
pr1719_current,0,1.4078651666641235,0.5793651044368744,0.40786516666412354,90
pr1719_current,1,1.4318181276321411,0.60317462682724,0.4318181872367859,90
pr1719_current,2,1.4823529720306396,0.6507936716079712,0.48235294222831726,90
pr1719_current,3,1.399999976158142,0.5714285969734192,0.4000000059604645,90
pr1719_current,4,1.4482758045196533,0.6190476417541504,0.4482758641242981,90
pr1719_current,5,1.518072247505188,0.682539701461792,0.5180723071098328,90
pr1719_current,6,1.4823529720306396,0.6507936716079712,0.48235294222831726,90
pr1719_current,7,1.4737346172332764,0.642857164144516,0.47373461723327637,90
pr1719_current,8,1.4318181276321411,0.60317462682724,0.4318181872367859,90
pr1719_current,9,1.4482758045196533,0.6190476417541504,0.4482758641242981,90
pr1719_current,10,1.4482758045196533,0.6190476417541504,0.4482758641242981,90
pr1719_current,11,1.419752299785614,0.591269850730896,0.4197522848844528,90
temporal,0,1.5555555820465088,0.7142857313156128,0.5555555820465088,90
temporal,1,1.518072247505188,0.682539701461792,0.5180723071098328,90
temporal,2,1.5135541558265686,0.6785714626312256,0.5135542452335358,90
temporal,3,1.4823529720306396,0.6507936716079712,0.48235294222831726,90
temporal,4,1.465116262435913,0.6349206566810608,0.4651162922382355,90
temporal,5,1.3884615898132324,0.5595238208770752,0.38846154510974884,90
temporal,6,1.6000487208366394,0.7500000298023224,0.6000487208366394,90
temporal,7,1.4078651666641235,0.5793651044368744,0.40786516666412354,90
temporal,8,1.4823529720306396,0.6507936716079712,0.48235294222831726,90
temporal,9,1.5273287892341614,0.6904762089252472,0.5273288488388062,90
temporal,10,1.5555555820465088,0.7142857313156128,0.5555555820465088,90
temporal,11,1.5460704565048218,0.7063492238521576,0.5460704863071442,90
vertical,0,1.423774242401123,0.5952381193637848,0.42377425730228424,90
vertical,1,1.4318181276321411,0.60317462682724,0.4318181872367859,90
vertical,2,1.4823529720306396,0.6507936716079712,0.48235294222831726,90
vertical,3,1.4482758045196533,0.6190476417541504,0.4482758641242981,90
vertical,4,1.423774242401123,0.5952381193637848,0.42377425730228424,90
vertical,5,1.4823529720306396,0.6507936716079712,0.48235294222831726,90
vertical,6,1.465116262435913,0.6349206566810608,0.4651162922382355,90
vertical,7,1.4823529720306396,0.6507936716079712,0.48235294222831726,90
vertical,8,1.4823529720306396,0.6507936716079712,0.48235294222831726,90
vertical,9,1.4566960334777832,0.6269841492176056,0.4566960781812668,90
vertical,10,1.4482758045196533,0.6190476417541504,0.4482758641242981,90
vertical,11,1.465116262435913,0.6349206566810608,0.4651162922382355,90
