arm,cfg_branch,sparsity,arm_label,ladder_position,representation,native_or_simulated,n_cells,jaccard_median,jaccard_iqr,jaccard_p05,recall_median,spearman_rho_median,frac_decisions_changed_median,frac_query_blocks_changed_median,swaps_per_query_block_median,jaccard_pooling_only_median,jaccard_vs_study1_arm_median,deployed_score_ties_median,deployed_score_ties_max,exact_ties_fp64_total,reference_margin_norm_fp64_median,changed_pair_gap_fp64_median,rel_l2_median,cosine_median,sparsification_error_median,wrong_mask_excess_median,wrong_mask_excess_iqr,wrong_mask_excess_p90,abs_wrong_mask_over_sparsification_median,abs_wrong_mask_over_sparsification_p90,frac_cells_arm_worse_than_reference,random_matched_excess_median,isolation_ratio_median_of_medians,isolation_ratio_abs,frac_cells_random_worse_than_arm,pool_semantics,score_semantics
R1,positive,0.9,"repr=nvfp4, pool=fp64/native, score=fp64/native",fp64,nvfp4,native,21600,0.975220713702797,0.01579849560036173,0.9426486683692084,0.9874549278846154,0.9997666308601574,0.0025482177734375,0.55859375,0.65234375,0.975220713702797,,0.0,1,0,0.0016785790207867772,0.0028791689202371366,0.17794473469257355,0.9869438111782074,0.17773617058992386,4.155933856964111e-05,0.00045261532068252563,0.0008301407098770142,0.0013694707695262177,0.00983814590512219,0.5663425925925926,0.0008431337773799896,20.287468626747938,20.287468626747938,0.6480092592592592,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R1,positive,0.95,"repr=nvfp4, pool=fp64/native, score=fp64/native",fp64,nvfp4,native,21600,0.9645808736717828,0.01968682366478791,0.9273201100332995,0.9819711538461539,0.9997666308601574,0.0018310546875,0.4296875,0.46875,0.9645808736717828,,0.0,0,0,0.002412888544206732,0.0026542836857359198,0.2765210419893265,0.9685751497745514,0.27634379267692566,7.480382919311523e-05,0.0008064992725849152,0.0014147639274597168,0.0015141327808556567,0.01086043612813153,0.56375,0.0011497586965560913,15.370318725099601,15.370318725099601,0.6565740740740741,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R2,negative,0.8,"repr=bf16, pool=fp32/native, score=fp32/native",fp32,bf16,native,21600,1.0,0.0,1.0,1.0,0.9999999992141936,0.0,0.0,0.0,1.0,0.9809924495698884,0.0,1,0,0.0010884809151636746,5.869569880301281e-08,0.10638872161507607,0.9952753186225891,0.10638872161507607,0.0,0.0,0.0,0.0,0.0,0.0042592592592592595,0.0,,,0.005925925925925926,pool=fp32_values_torch_sum_acc_fp32,score=fp32_values_torch_matmul_acc_fp32_tf32_disabled
R2,negative,0.9,"repr=bf16, pool=fp32/native, score=fp32/native",fp32,bf16,native,21600,1.0,0.0,1.0,1.0,0.9999999992141936,0.0,0.0,0.0,1.0,0.9749276759884281,0.0,1,0,0.001667795173045388,5.7740111102252353e-08,0.1793055236339569,0.9866471886634827,0.1793055236339569,0.0,0.0,0.0,0.0,0.0,0.003472222222222222,0.0,,,0.0033796296296296296,pool=fp32_values_torch_sum_acc_fp32,score=fp32_values_torch_matmul_acc_fp32_tf32_disabled
R2,negative,0.95,"repr=bf16, pool=fp32/native, score=fp32/native",fp32,bf16,native,21600,1.0,0.0,1.0,1.0,0.9999999992141936,0.0,0.0,0.0,1.0,0.9645808736717828,0.0,1,0,0.0024341969873444883,1.1942191078847088e-07,0.2781998813152313,0.967940628528595,0.2781998813152313,0.0,0.0,0.0,0.0,0.0,0.0024537037037037036,0.0,,,0.0036574074074074074,pool=fp32_values_torch_sum_acc_fp32,score=fp32_values_torch_matmul_acc_fp32_tf32_disabled
R2,positive,0.8,"repr=bf16, pool=fp32/native, score=fp32/native",fp32,bf16,native,21600,1.0,0.0,1.0,1.0,0.9999999992141936,0.0,0.0,0.0,1.0,0.9814390381363892,0.0,1,0,0.001102686771916826,5.807722426802238e-08,0.10559626668691635,0.9953496754169464,0.10559626668691635,0.0,0.0,0.0,0.0,0.0,0.003472222222222222,0.0,,,0.004629629629629629,pool=fp32_values_torch_sum_acc_fp32,score=fp32_values_torch_matmul_acc_fp32_tf32_disabled
R2,positive,0.9,"repr=bf16, pool=fp32/native, score=fp32/native",fp32,bf16,native,21600,1.0,0.0,1.0,1.0,0.9999999992141936,0.0,0.0,0.0,1.0,0.975220713702797,0.0,1,0,0.0016785790207867772,9.25440870248663e-08,0.17773617058992386,0.9869287014007568,0.17773617058992386,0.0,0.0,0.0,0.0,0.0,0.0030092592592592593,0.0,,,0.003425925925925926,pool=fp32_values_torch_sum_acc_fp32,score=fp32_values_torch_matmul_acc_fp32_tf32_disabled
R2,positive,0.95,"repr=bf16, pool=fp32/native, score=fp32/native",fp32,bf16,native,21600,1.0,0.0,1.0,1.0,0.9999999992141936,0.0,0.0,0.0,1.0,0.9645808736717828,0.0,1,0,0.002412888544206732,7.511317598661456e-08,0.27634379267692566,0.9685733616352081,0.27634379267692566,0.0,0.0,0.0,0.0,0.0,0.002824074074074074,0.0,,,0.0033796296296296296,pool=fp32_values_torch_sum_acc_fp32,score=fp32_values_torch_matmul_acc_fp32_tf32_disabled
R3,negative,0.8,"repr=nvfp4, pool=fp32/native, score=fp32/native",fp32,nvfp4,native,21600,0.9809924495698884,0.011516624644313245,0.9570993839530914,0.990405036407767,0.9997582002049145,0.0038604736328125,0.73046875,0.98828125,0.9809924495698884,1.0,0.0,1,0,0.0010884809151636746,0.003184495867156087,0.10665179044008255,0.9952565133571625,0.10638872161507607,3.5762786865234375e-05,0.0002715077716857195,0.000563792884349823,0.0014668512357190158,0.01096806011362279,0.6009722222222222,0.0010130256414413452,28.32625,28.32625,0.6622222222222223,pool=fp32_values_torch_sum_acc_fp32,score=fp32_values_torch_matmul_acc_fp32_tf32_disabled
R3,negative,0.9,"repr=nvfp4, pool=fp32/native, score=fp32/native",fp32,nvfp4,native,21600,0.9749276759884281,0.016228935501647612,0.9409491871400452,0.9873046875,0.9997582002049145,0.0025787353515625,0.5625,0.66015625,0.9749276759884281,1.0,0.0,1,0,0.001667795173045388,0.0029375228053731685,0.17941592633724213,0.9866538345813751,0.1793055236339569,3.938749432563782e-05,0.0004688464105129242,0.0008707374334335327,0.0013813199498569104,0.010252707363676169,0.5607407407407408,0.0008582621812820435,21.79022037264731,21.79022037264731,0.648287037037037,pool=fp32_values_torch_sum_acc_fp32,score=fp32_values_torch_matmul_acc_fp32_tf32_disabled
R3,negative,0.95,"repr=nvfp4, pool=fp32/native, score=fp32/native",fp32,nvfp4,native,21600,0.9645808736717828,0.020259902210923997,0.9264833574529667,0.9819711538461539,0.9997582002049145,0.0018310546875,0.4296875,0.46875,0.9645808736717828,1.0,0.0,1,0,0.0024341969873444883,0.0026904658648168496,0.27854983508586884,0.9680267870426178,0.2781998813152313,8.613988757133484e-05,0.0007846802473068237,0.0014401406049728393,0.001454676446213539,0.01112246923473279,0.573287037037037,0.0011373907327651978,13.203996021277517,13.203996021277517,0.6503703703703704,pool=fp32_values_torch_sum_acc_fp32,score=fp32_values_torch_matmul_acc_fp32_tf32_disabled
R3,positive,0.8,"repr=nvfp4, pool=fp32/native, score=fp32/native",fp32,nvfp4,native,21600,0.9814390381363892,0.011150555046844035,0.9583348806119796,0.9906325849514563,0.9997666326936313,0.0037689208984375,0.71875,0.96484375,0.9814390381363892,1.0,0.0,1,0,0.001102686771916826,0.0031380093035769862,0.10567683354020119,0.9953427314758301,0.10559626668691635,3.3049844205379486e-05,0.00026005227118730545,0.0005303710699081421,0.001431991613025898,0.010745350755786686,0.593287037037037,0.0010251644998788834,31.01873925662919,31.01873925662919,0.6659722222222222,pool=fp32_values_torch_sum_acc_fp32,score=fp32_values_torch_matmul_acc_fp32_tf32_disabled
