arm,timestep,sparsity,arm_label,ladder_position,representation,native_or_simulated,n_cells,jaccard_median,jaccard_iqr,jaccard_p05,recall_median,spearman_rho_median,frac_decisions_changed_median,frac_query_blocks_changed_median,swaps_per_query_block_median,jaccard_pooling_only_median,jaccard_vs_study1_arm_median,deployed_score_ties_median,deployed_score_ties_max,exact_ties_fp64_total,reference_margin_norm_fp64_median,changed_pair_gap_fp64_median,rel_l2_median,cosine_median,sparsification_error_median,wrong_mask_excess_median,wrong_mask_excess_iqr,wrong_mask_excess_p90,abs_wrong_mask_over_sparsification_median,abs_wrong_mask_over_sparsification_p90,frac_cells_arm_worse_than_reference,random_matched_excess_median,isolation_ratio_median_of_medians,isolation_ratio_abs,frac_cells_random_worse_than_arm,pool_semantics,score_semantics
R0,25,0.95,"repr=bf16, pool=fp64/native, score=fp64/native",fp64,bf16,native,7200,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.9666124981533462,0.0,0,0,0.002392954567760646,,0.2658453732728958,0.9708117544651031,0.2658453732728958,0.0,0.0,0.0,0.0,0.0,0.0,,,,,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R0,40,0.8,"repr=bf16, pool=fp64/native, score=fp64/native",fp64,bf16,native,7200,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.9824073377941508,0.0,0,0,0.001108028098768531,,0.07580089196562767,0.9976504743099213,0.07580089196562767,0.0,0.0,0.0,0.0,0.0,0.0,,,,,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R0,40,0.9,"repr=bf16, pool=fp64/native, score=fp64/native",fp64,bf16,native,7200,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.9780089153046062,0.0,0,0,0.0017587422944597081,,0.14203844219446182,0.9915936887264252,0.14203844219446182,0.0,0.0,0.0,0.0,0.0,0.0,,,,,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R0,40,0.95,"repr=bf16, pool=fp64/native, score=fp64/native",fp64,bf16,native,7200,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.9677753141167775,0.0,0,0,0.0024668156877151338,,0.24164415895938873,0.9757466316223145,0.24164415895938873,0.0,0.0,0.0,0.0,0.0,0.0,,,,,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R0,48,0.8,"repr=bf16, pool=fp64/native, score=fp64/native",fp64,bf16,native,7200,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.9816251768385363,0.0,0,0,0.0010960815615486553,,0.05834735557436943,0.9985614120960236,0.05834735557436943,0.0,0.0,0.0,0.0,0.0,0.0,,,,,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R0,48,0.9,"repr=bf16, pool=fp64/native, score=fp64/native",fp64,bf16,native,7200,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.9772744151503899,0.0,0,0,0.0017686845365479846,,0.11174986511468887,0.9948844313621521,0.11174986511468887,0.0,0.0,0.0,0.0,0.0,0.0,,,,,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R0,48,0.95,"repr=bf16, pool=fp64/native, score=fp64/native",fp64,bf16,native,7200,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.9680662329982259,0.0,0,0,0.002556319982170172,,0.19980139285326004,0.984043151140213,0.19980139285326004,0.0,0.0,0.0,0.0,0.0,0.0,,,,,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R1,0,0.8,"repr=nvfp4, pool=fp64/native, score=fp64/native",fp64,nvfp4,native,7200,0.977464050041714,0.012296534044901719,0.9536193228124767,0.9886036104368932,0.9997263057194168,0.00458526611328125,0.79296875,1.173828125,0.977464050041714,,0.0,0,0,0.0010528954075032762,0.0037310667280831965,0.16514113545417786,0.9880493581295013,0.165190190076828,1.559220254421234e-05,0.0003350060433149338,0.0005390201695263386,0.0011358536387070604,0.00753923603774416,0.5373611111111111,-0.00037661194801330566,-24.153864532313943,24.153864532313943,0.39555555555555555,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R1,0,0.9,"repr=nvfp4, pool=fp64/native, score=fp64/native",fp64,nvfp4,native,7200,0.9687939066775124,0.01600080283748495,0.9354463506833381,0.9841496394230769,0.9997263057194168,0.0032196044921875,0.65234375,0.82421875,0.9687939066775124,,0.0,1,0,0.001541732870714268,0.0034776564536100544,0.2430216670036316,0.9757784008979797,0.2432190403342247,3.520399332046509e-06,0.0005399361252784729,0.0008093118667602539,0.0011493875445955418,0.006653171819508109,0.5047222222222222,-0.0005185902118682861,-147.31005291005292,147.31005291005292,0.39055555555555554,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R1,0,0.95,"repr=nvfp4, pool=fp64/native, score=fp64/native",fp64,nvfp4,native,7200,0.9579349904397706,0.02188026806027421,0.918971322556137,0.978515625,0.9997263057194168,0.0021820068359375,0.49609375,0.55859375,0.9579349904397706,,0.0,0,0,0.0023599997629232742,0.003265199189786018,0.3333665132522583,0.9555672705173492,0.33297792077064514,5.602836608886719e-05,0.0008578337728977203,0.001363605260848999,0.0012677503543413098,0.008409872175630616,0.5419444444444445,-0.0005042776465415955,-9.000398936170212,9.000398936170212,0.42527777777777775,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
