arm,sparsity,arm_label,ladder_position,representation,native_or_simulated,n_cells,jaccard_median,jaccard_iqr,jaccard_p05,recall_median,spearman_rho_median,frac_decisions_changed_median,frac_query_blocks_changed_median,swaps_per_query_block_median,jaccard_pooling_only_median,jaccard_vs_study1_arm_median,deployed_score_ties_median,deployed_score_ties_max,exact_ties_fp64_total,reference_margin_norm_fp64_median,changed_pair_gap_fp64_median,rel_l2_median,cosine_median,sparsification_error_median,wrong_mask_excess_median,wrong_mask_excess_iqr,wrong_mask_excess_p90,abs_wrong_mask_over_sparsification_median,abs_wrong_mask_over_sparsification_p90,frac_cells_arm_worse_than_reference,random_matched_excess_median,isolation_ratio_median_of_medians,isolation_ratio_abs,frac_cells_random_worse_than_arm,pool_semantics,score_semantics
R4,0.9,"repr=bf16, pool=bf16/native, score=bf16/native",bf16_acc_fp32,bf16,native,43200,0.9907282787498131,0.008475016129732116,0.9698135543060078,0.9953425480769231,0.999989014250315,0.000946044921875,0.234375,0.2421875,0.9968499212480312,0.9730250481695568,93.0,247,0,0.001672994333156551,0.0008962905345504734,0.17865412682294846,0.9867609739303589,0.17856170237064362,-3.1623058021068573e-06,0.00022141728550195694,0.00038126632571220396,0.0007048932918554712,0.003310575818159884,0.47983796296296294,0.00032986700534820557,-104.31217788249154,104.31217788249154,0.671412037037037,pool=bf16_values_torch_sum_acc_fp32,score=bf16_values_torch_matmul_acc_fp32
R5,0.9,"repr=nvfp4, pool=bf16/native, score=bf16/native",bf16_acc_fp32,nvfp4,native,43200,0.9728788440163023,0.01736258710404226,0.9375591296121097,0.9862530048076923,0.9997608011018083,0.0027923583984375,0.59375,0.71484375,0.9749276759884281,0.9907282787498131,93.0,246,0,0.001672994333156551,0.003241023804675977,0.17878980934619904,0.986762136220932,0.17856170237064362,3.9361417293548584e-05,0.0005271262489259243,0.0009699951857328415,0.0016063234738154005,0.010473840610046987,0.5546527777777778,0.0009262003004550934,23.530664395229984,23.530664395229984,0.659050925925926,pool=bf16_values_torch_sum_acc_fp32,score=bf16_values_torch_matmul_acc_fp32
R4L,0.9,"repr=bf16, pool=bf16/low, score=bf16/low",bf16_acc_bf16,bf16,native,43200,0.9567837718653536,0.02667678331452983,0.8922530206112296,0.9779146634615384,0.9996687161567394,0.004486083984375,0.7890625,1.1484375,0.9822798004616187,0.9503333089150978,93.0,249,0,0.001672994333156551,0.006184001393881994,0.17876684665679932,0.9867725968360901,0.17856170237064362,3.419816493988037e-06,0.0006364341825246811,0.0009011559188365937,0.0019392854829278668,0.012216950379079859,0.5046759259259259,0.0016767345368862152,490.29956427015253,490.29956427015253,0.6661111111111111,pool=bf16_values_sequential_acc_bf16,score=bf16_values_sequential_rank1_acc_bf16
R5L,0.9,"repr=nvfp4, pool=bf16/low, score=bf16/low",bf16_acc_bf16,nvfp4,native,43200,0.9490483162518302,0.03212142565817433,0.8791643139469226,0.9738581730769231,0.9994342091032266,0.00531005859375,0.84375,1.359375,0.9686483288967761,0.9549159262794625,93.0,247,0,0.001672994333156551,0.007555670918867196,0.17868831753730774,0.9867573380470276,0.17856170237064362,4.16487455368042e-05,0.0008110720664262772,0.001249968260526657,0.0024467390277471976,0.01722153378710927,0.5383796296296296,0.0019120797514915466,45.909660107334524,45.909660107334524,0.6659027777777777,pool=bf16_values_sequential_acc_bf16,score=bf16_values_sequential_rank1_acc_bf16
R6,0.9,"repr=bf16, pool=fp32+fp8_e4m3/native, score=fp8_e4m3/native",fp8,bf16,native,43200,0.9598086124401913,0.019861950139699713,0.9111334433996123,0.9794921875,0.9993301331179918,0.0041656494140625,0.765625,1.06640625,0.9598086124401913,0.9531949233365123,0.0,1,0,0.001672994333156551,0.0056064988273503945,0.1787279024720192,0.9867523908615112,0.17856170237064362,2.2327527403831482e-05,0.0005516894161701202,0.0008189916610717773,0.001660208168857954,0.010415867858792621,0.5315509259259259,0.001496780663728714,67.03745724534913,67.03745724534913,0.6552777777777777,pool=fp32_values_torch_sum_acc_fp32+pooled_rounded_to_fp8_e4m3_per_head_amax,score=fp8_e4m3_torch_scaled_mm_acc_fp32_native
R7,0.9,"repr=nvfp4, pool=fp32+fp8_e4m3/native, score=fp8_e4m3/native",fp8,nvfp4,native,43200,0.9529083840680701,0.025428410017765635,0.8992723641032958,0.9758864182692307,0.9991209464286523,0.0048980712890625,0.8203125,1.25390625,0.9529083840680701,0.9596643603709701,0.0,1,0,0.001672994333156551,0.0067692944978631755,0.17872589081525803,0.9867706298828125,0.17856170237064362,6.789900362491608e-05,0.0007111169397830963,0.0012083053588867188,0.0021439044099512412,0.014834997883695255,0.5684027777777778,0.0016958564519882202,24.976161084135736,24.976161084135736,0.6532175925925926,pool=fp32_values_torch_sum_acc_fp32+pooled_rounded_to_fp8_e4m3_per_head_amax,score=fp8_e4m3_torch_scaled_mm_acc_fp32_native
R8,0.9,"repr=bf16, pool=fp32+nvfp4/native, score=fp32/native",nvfp4_like,bf16,simulated,43200,0.8874237912944846,0.04860813777545114,0.7813461795798207,0.9403545673076923,0.9942876799923008,0.012115478515625,0.98828125,3.1015625,0.8874237912944846,0.8894329714001845,0.0,3,0,0.001672994333156551,0.019932442081582458,0.17899003624916077,0.9867229163646698,0.17856170237064362,0.00031601637601852417,0.0019421358592808247,0.0029375657439231874,0.006523469798784476,0.037203728529112336,0.6071527777777778,0.004511946812272072,14.277572792644111,14.277572792644111,0.6587268518518519,pool=fp32_values_torch_sum_acc_fp32+pooled_rounded_to_nvfp4_e2m1_per16_e4m3_sf,score=fp32_values_torch_matmul_acc_fp32_tf32_disabled
R9,0.9,"repr=nvfp4, pool=fp32+nvfp4/native, score=fp32/native",nvfp4_like,nvfp4,simulated,43200,0.8848849557522124,0.04981340777563936,0.7757620222770626,0.9389272836538461,0.9940972339423982,0.0124053955078125,0.98828125,3.17578125,0.8848849557522124,0.8903720533939222,0.0,3,0,0.001672994333156551,0.02046996006793822,0.17906103283166885,0.9866827428340912,0.17856170237064362,0.0003794357180595398,0.0020732171833515167,0.003337409347295761,0.006999722357211184,0.0420014423386976,0.6196527777777778,0.004620246589183807,12.17662536571956,12.17662536571956,0.6588425925925926,pool=fp32_values_torch_sum_acc_fp32+pooled_rounded_to_nvfp4_e2m1_per16_e4m3_sf,score=fp32_values_torch_matmul_acc_fp32_tf32_disabled
R0,0.95,"repr=bf16, pool=fp64/native, score=fp64/native",fp64,bf16,native,43200,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.9645808736717828,0.0,0,0,0.002423984849469858,,0.27706222236156464,0.9682413339614868,0.27706222236156464,0.0,0.0,0.0,0.0,0.0,0.0,,,,,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R1,0.95,"repr=nvfp4, pool=fp64/native, score=fp64/native",fp64,nvfp4,native,43200,0.9645808736717828,0.019973404977068565,0.9270411117544877,0.9819711538461539,0.9997626763330049,0.0018310546875,0.4296875,0.46875,0.9645808736717828,,0.0,0,0,0.002423984849469858,0.002673103263614851,0.27721676230430603,0.968248039484024,0.27706222236156464,8.002761751413345e-05,0.000796537846326828,0.0014253221452236176,0.0014825335813845753,0.01105099943499406,0.5685648148148148,0.0011487863957881927,14.354874373028895,14.354874373028895,0.653587962962963,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
