sparsity,quantity,followup_R1_value,study1_frozen_value,note
0.8,mask_jaccard_median[router=nvfp4],0.9812157186866031,0.980695,"R1 reproduces study 1's condition exactly (nvfp4 representation, fp64 scorer); any gap is prompt/layer coverage, not method"
0.8,isolation_ratio,29.515413487987644,26.998616291661655,ratio of medians in both studies
0.8,wrong_mask_excess_median,3.436533734202385e-05,3.096088767051697e-05,signed paired difference
0.9,mask_jaccard_median[router=nvfp4],0.9750741839762611,0.973756,"R1 reproduces study 1's condition exactly (nvfp4 representation, fp64 scorer); any gap is prompt/layer coverage, not method"
0.9,isolation_ratio,21.046363620712413,21.663399607952954,ratio of medians in both studies
0.9,wrong_mask_excess_median,4.0571438148617744e-05,3.325752913951874e-05,signed paired difference
0.95,mask_jaccard_median[router=nvfp4],0.9645808736717828,0.961108,"R1 reproduces study 1's condition exactly (nvfp4 representation, fp64 scorer); any gap is prompt/layer coverage, not method"
0.95,isolation_ratio,14.354874373028895,10.076817719339438,ratio of medians in both studies
0.95,wrong_mask_excess_median,8.002761751413345e-05,9.519606828689575e-05,signed paired difference
