arm,layer,sparsity,arm_label,ladder_position,representation,native_or_simulated,n_cells,jaccard_median,jaccard_iqr,jaccard_p05,recall_median,spearman_rho_median,frac_decisions_changed_median,frac_query_blocks_changed_median,swaps_per_query_block_median,jaccard_pooling_only_median,jaccard_vs_study1_arm_median,deployed_score_ties_median,deployed_score_ties_max,exact_ties_fp64_total,reference_margin_norm_fp64_median,changed_pair_gap_fp64_median,rel_l2_median,cosine_median,sparsification_error_median,wrong_mask_excess_median,wrong_mask_excess_iqr,wrong_mask_excess_p90,abs_wrong_mask_over_sparsification_median,abs_wrong_mask_over_sparsification_p90,frac_cells_arm_worse_than_reference,random_matched_excess_median,isolation_ratio_median_of_medians,isolation_ratio_abs,frac_cells_random_worse_than_arm,pool_semantics,score_semantics
R0,12,0.9,"repr=bf16, pool=fp64/native, score=fp64/native",fp64,bf16,native,1440,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.9770541741880365,0.0,0,0,0.0017683823789727848,,0.15933052450418472,0.9895420372486115,0.15933052450418472,0.0,0.0,0.0,0.0,0.0,0.0,,,,,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R0,12,0.95,"repr=bf16, pool=fp64/native, score=fp64/native",fp64,bf16,native,1440,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.9677753141167775,0.0,0,0,0.002538124746638532,,0.24781609326601028,0.9741986095905304,0.24781609326601028,0.0,0.0,0.0,0.0,0.0,0.0,,,,,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R0,13,0.8,"repr=bf16, pool=fp64/native, score=fp64/native",fp64,bf16,native,1440,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.9863274268330477,0.0,0,0,0.0012897254743969445,,0.1258113533258438,0.9930568933486938,0.1258113533258438,0.0,0.0,0.0,0.0,0.0,0.0,,,,,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R0,13,0.9,"repr=bf16, pool=fp64/native, score=fp64/native",fp64,bf16,native,1440,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.978891036123086,0.0,0,0,0.0016950579155340202,,0.19571303576231003,0.9830432534217834,0.19571303576231003,0.0,0.0,0.0,0.0,0.0,0.0,,,,,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R0,13,0.95,"repr=bf16, pool=fp64/native, score=fp64/native",fp64,bf16,native,1440,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.9632770551414915,0.0,0,0,0.0020914292711501454,,0.2993738353252411,0.9607216119766235,0.2993738353252411,0.0,0.0,0.0,0.0,0.0,0.0,,,,,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R0,14,0.8,"repr=bf16, pool=fp64/native, score=fp64/native",fp64,bf16,native,1440,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.9844214487300094,0.0,0,0,0.001185880564503691,,0.14414198696613312,0.9914045333862305,0.14414198696613312,0.0,0.0,0.0,0.0,0.0,0.0,,,,,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R0,14,0.9,"repr=bf16, pool=fp64/native, score=fp64/native",fp64,bf16,native,1440,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.9775681497437421,0.0,0,0,0.00164337920655728,,0.2123768925666809,0.9815564155578613,0.2123768925666809,0.0,0.0,0.0,0.0,0.0,0.0,,,,,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R0,14,0.95,"repr=bf16, pool=fp64/native, score=fp64/native",fp64,bf16,native,1440,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.9674844812296778,0.0,0,0,0.002248531775982739,,0.29282447695732117,0.9648266732692719,0.29282447695732117,0.0,0.0,0.0,0.0,0.0,0.0,,,,,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R0,15,0.8,"repr=bf16, pool=fp64/native, score=fp64/native",fp64,bf16,native,1440,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.9809180377131695,0.0,0,0,0.0010437385095944166,,0.1864970475435257,0.985600471496582,0.1864970475435257,0.0,0.0,0.0,0.0,0.0,0.0,,,,,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R0,15,0.9,"repr=bf16, pool=fp64/native, score=fp64/native",fp64,bf16,native,1440,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.972732661529342,0.0,0,0,0.0015052312295927859,,0.26940159499645233,0.9699336588382721,0.26940159499645233,0.0,0.0,0.0,0.0,0.0,0.0,,,,,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
