layer,timestep,n,insufficient_n,native_or_simulated,n_jaccard,jaccard_median,jaccard_q1,jaccard_q3,jaccard_iqr,jaccard_mean,jaccard_p10,jaccard_p90,jaccard_min,jaccard_max,n_recall,recall_median,recall_q1,recall_q3,recall_iqr,recall_mean,recall_p10,recall_p90,recall_min,recall_max,decision_margin_reference_median,n_decision_margin_reference,decision_margin_candidate_median,n_decision_margin_candidate,frac_query_blocks_changed_median,n_frac_query_blocks_changed,boundary_ties_median,n_boundary_ties,spearman_rho_median,n_spearman_rho,sat_frac_q_median,n_sat_frac_q
0,0,240,False,native,240,0.978192,0.974229,0.984106,0.009877,0.978658,0.97163,0.98609,0.967162,0.986662,240,0.988976,0.986946,0.991989,0.005043,0.989204,0.985611,0.992996,0.983307,0.993286,0.000525,240,0.000698,240,0.976562,240,98.5,240,0.99926,240,0.096604,240
0,5,240,False,native,240,0.978655,0.975024,0.983468,0.008443,0.979235,0.972455,0.98513,0.968403,0.988953,240,0.989212,0.987354,0.991665,0.004311,0.989501,0.986035,0.992509,0.983948,0.994446,0.000668,240,0.00062,240,0.980469,240,89.5,240,,0,0.09547,240
0,10,240,False,native,240,0.977983,0.975866,0.982972,0.007107,0.979355,0.973438,0.985608,0.97077,0.989829,240,0.988869,0.987785,0.991413,0.003628,0.989563,0.98654,0.992752,0.985168,0.994888,0.000692,240,0.000668,240,0.972656,240,84.0,240,0.999277,240,0.094776,240
0,15,240,False,native,240,0.978386,0.974913,0.98292,0.008007,0.979167,0.972176,0.98532,0.970859,0.989708,240,0.989075,0.987297,0.991386,0.004089,0.989467,0.985892,0.992606,0.985214,0.994827,0.000698,240,0.000677,240,0.96875,240,82.5,240,,0,0.094692,240
0,20,240,False,native,240,0.978819,0.974972,0.981578,0.006606,0.978722,0.973159,0.984469,0.969201,0.990191,240,0.989296,0.987328,0.990704,0.003376,0.98924,0.986397,0.992174,0.98436,0.995071,0.000687,240,0.000673,240,0.96875,240,83.5,240,0.999266,240,0.094846,240
0,25,240,False,native,240,0.978177,0.974928,0.980545,0.005618,0.978267,0.972663,0.983337,0.96858,0.990282,240,0.988968,0.987305,0.990177,0.002872,0.989008,0.986142,0.991599,0.984039,0.995117,0.000677,240,0.000666,240,0.972656,240,76.5,240,,0,0.095164,240
0,30,240,False,native,240,0.977968,0.974742,0.97994,0.005198,0.977739,0.972823,0.982857,0.966336,0.989798,240,0.988861,0.987209,0.989868,0.002659,0.988738,0.986224,0.991354,0.98288,0.994873,0.000664,240,0.000675,240,0.974609,240,80.0,240,0.999202,240,0.095386,240
0,35,240,False,native,240,0.97664,0.973092,0.979371,0.00628,0.976439,0.968704,0.983982,0.963243,0.988832,240,0.988182,0.986362,0.989578,0.003216,0.988071,0.984103,0.991927,0.981277,0.994385,0.000656,240,0.000647,240,0.980469,240,77.5,240,,0,0.095587,240
0,40,240,False,native,240,0.974556,0.970896,0.979237,0.008341,0.975137,0.967369,0.984379,0.961187,0.987927,240,0.987114,0.985233,0.98951,0.004276,0.987402,0.983414,0.992128,0.980209,0.993927,0.000656,240,0.000622,240,0.984375,240,83.0,240,0.999058,240,0.095786,240
0,45,240,False,native,240,0.972684,0.967952,0.97982,0.011868,0.973522,0.963684,0.983649,0.959018,0.991945,240,0.986153,0.983715,0.989807,0.006092,0.986569,0.981506,0.991757,0.97908,0.995956,0.000601,240,0.000595,240,0.984375,240,86.5,240,,0,0.095428,240
