head,n,insufficient_n,native_or_simulated,n_jaccard,jaccard_median,jaccard_q1,jaccard_q3,jaccard_iqr,jaccard_mean,jaccard_p10,jaccard_p90,jaccard_min,jaccard_max,n_recall,recall_median,recall_q1,recall_q3,recall_iqr,recall_mean,recall_p10,recall_p90,recall_min,recall_max,decision_margin_reference_median,n_decision_margin_reference,decision_margin_candidate_median,n_decision_margin_candidate,frac_query_blocks_changed_median,n_frac_query_blocks_changed,boundary_ties_median,n_boundary_ties,spearman_rho_median,n_spearman_rho,sat_frac_q_median,n_sat_frac_q
0,6000,False,native,6000,0.988199,0.985729,0.989829,0.0041,0.986679,0.980804,0.991703,0.946017,0.994522,6000,0.994064,0.992813,0.994888,0.002075,0.993285,0.990309,0.995834,0.97226,0.997253,0.000614,6000,0.000622,6000,0.878906,6000,73.0,6000,0.999784,3000,0.106243,6000
1,6000,False,native,6000,0.987927,0.984947,0.990161,0.005214,0.986958,0.981286,0.991855,0.960571,0.99601,6000,0.993927,0.992416,0.995056,0.00264,0.99343,0.990555,0.995911,0.979889,0.998001,0.000618,6000,0.000626,6000,0.882812,6000,89.0,6000,0.999777,3000,0.106243,6000
2,6000,False,native,6000,0.987716,0.983385,0.990161,0.006776,0.985629,0.975761,0.991703,0.94836,0.995008,6000,0.99382,0.991623,0.995056,0.003433,0.992751,0.987732,0.995834,0.973495,0.997498,0.000584,6000,0.000591,6000,0.878906,6000,106.0,6000,0.999745,3000,0.106243,6000
3,6000,False,native,6000,0.987535,0.983835,0.990403,0.006567,0.986457,0.97973,0.991734,0.950041,0.995251,6000,0.993729,0.991852,0.995178,0.003326,0.993175,0.989761,0.99585,0.97438,0.99762,0.00057,6000,0.000568,6000,0.890625,6000,114.0,6000,0.99975,3000,0.106243,6000
4,6000,False,native,6000,0.987837,0.984429,0.990191,0.005763,0.986339,0.97749,0.991794,0.94949,0.995402,6000,0.993881,0.992153,0.995071,0.002918,0.993114,0.988617,0.99588,0.974091,0.997696,0.000633,6000,0.000633,6000,0.882812,6000,90.0,6000,0.999766,3000,0.106243,6000
5,6000,False,native,6000,0.988606,0.984466,0.991461,0.006995,0.987239,0.980239,0.992945,0.934043,0.995676,6000,0.99427,0.992172,0.995712,0.00354,0.99357,0.990021,0.99646,0.965897,0.997833,0.000669,6000,0.000664,6000,0.859375,6000,95.0,6000,0.999786,3000,0.106243,6000
6,6000,False,native,6000,0.988953,0.98609,0.990917,0.004827,0.987419,0.979969,0.992309,0.961304,0.995068,6000,0.994446,0.992996,0.995438,0.002441,0.993662,0.989883,0.99614,0.98027,0.997528,0.000595,6000,0.000601,6000,0.851562,6000,95.0,6000,0.99979,3000,0.106243,6000
7,6000,False,native,6000,0.988319,0.983865,0.991098,0.007233,0.986902,0.979578,0.992339,0.957672,0.994947,6000,0.994125,0.991867,0.995529,0.003662,0.993401,0.989684,0.996155,0.978378,0.997467,0.000694,6000,0.000694,6000,0.875,6000,90.0,6000,0.999785,3000,0.106243,6000
8,6000,False,native,6000,0.988018,0.984188,0.990493,0.006305,0.986491,0.979491,0.992067,0.916818,0.995524,6000,0.993973,0.992031,0.995224,0.003193,0.993189,0.989639,0.996017,0.956604,0.997757,0.000565,6000,0.000565,6000,0.878906,6000,118.0,6000,0.999768,3000,0.106243,6000
9,6000,False,native,6000,0.988319,0.984466,0.990524,0.006058,0.986246,0.976232,0.991976,0.951725,0.995524,6000,0.994125,0.992172,0.995239,0.003067,0.993064,0.987973,0.995972,0.975266,0.997757,0.000648,6000,0.000648,6000,0.875,6000,90.0,6000,0.999784,3000,0.106243,6000
10,6000,False,native,6000,0.98847,0.984879,0.990856,0.005977,0.987223,0.97988,0.992703,0.956007,0.995311,6000,0.994202,0.992382,0.995407,0.003025,0.993563,0.989838,0.996338,0.977509,0.99765,0.000652,6000,0.000656,6000,0.851562,6000,93.0,6000,0.999781,3000,0.106243,6000
11,6000,False,native,6000,0.988169,0.984887,0.990705,0.005818,0.986426,0.977908,0.9924,0.939451,0.995554,6000,0.994049,0.992386,0.995331,0.002945,0.993155,0.988831,0.996185,0.968781,0.997772,0.00061,6000,0.000614,6000,0.871094,6000,100.0,6000,0.999775,3000,0.106243,6000
