layer,timestep,n,insufficient_n,native_or_simulated,n_jaccard,jaccard_median,jaccard_q1,jaccard_q3,jaccard_iqr,jaccard_mean,jaccard_p10,jaccard_p90,jaccard_min,jaccard_max,n_recall,recall_median,recall_q1,recall_q3,recall_iqr,recall_mean,recall_p10,recall_p90,recall_min,recall_max,decision_margin_reference_median,n_decision_margin_reference,decision_margin_candidate_median,n_decision_margin_candidate,frac_query_blocks_changed_median,n_frac_query_blocks_changed,boundary_ties_median,n_boundary_ties,spearman_rho_median,n_spearman_rho,sat_frac_q_median,n_sat_frac_q
1,35,240,False,native,240,0.951906,0.940808,0.962264,0.021456,0.949331,0.931179,0.972762,0.874402,0.981247,240,0.975361,0.969501,0.980769,0.011268,0.973895,0.964363,0.986193,0.932993,0.990535,0.002686,240,0.00264,240,0.560547,240,85.5,240,,0,0.099702,240
1,40,240,False,native,240,0.949191,0.939394,0.961758,0.022364,0.947741,0.926372,0.97247,0.859737,0.982723,240,0.973933,0.96875,0.980506,0.011756,0.973031,0.961779,0.986043,0.924579,0.991286,0.002686,240,0.002686,240,0.558594,240,81.0,240,0.999478,240,0.098599,240
1,45,240,False,native,240,0.948478,0.937136,0.962626,0.02549,0.946567,0.922199,0.970426,0.870714,0.979774,240,0.973558,0.967548,0.980957,0.013409,0.972416,0.959525,0.984991,0.930889,0.989784,0.002708,240,0.002716,240,0.5625,240,78.0,240,,0,0.097855,240
2,0,240,False,native,240,0.95162,0.938758,0.964291,0.025533,0.950573,0.923144,0.978068,0.896026,0.995204,240,0.97521,0.968412,0.981821,0.013409,0.974528,0.960036,0.988912,0.945162,0.997596,0.002609,240,0.002594,240,0.550781,240,82.0,240,0.999683,240,0.102803,240
2,5,240,False,native,240,0.952622,0.941374,0.966467,0.025093,0.95102,0.927571,0.975397,0.872293,0.990133,240,0.975736,0.969802,0.982948,0.013146,0.974777,0.962425,0.987545,0.931791,0.995042,0.002464,240,0.002487,240,0.539062,240,85.5,240,,0,0.102377,240
2,10,240,False,native,240,0.955634,0.945559,0.968066,0.022507,0.954536,0.93258,0.978009,0.890641,0.990728,240,0.977314,0.972018,0.983774,0.011756,0.976647,0.965114,0.988882,0.942157,0.995343,0.002533,240,0.002518,240,0.521484,240,81.0,240,0.999709,240,0.101598,240
2,15,240,False,native,240,0.955347,0.947195,0.968794,0.021599,0.955809,0.935728,0.977421,0.901171,0.987162,240,0.977163,0.972882,0.98415,0.011268,0.977332,0.966797,0.988582,0.948017,0.99354,0.002655,240,0.002625,240,0.521484,240,78.5,240,,0,0.100959,240
2,20,240,False,native,240,0.954916,0.947338,0.965451,0.018113,0.955684,0.938236,0.977715,0.907163,0.987162,240,0.976938,0.972957,0.982422,0.009465,0.977279,0.968134,0.988732,0.951322,0.99354,0.002579,240,0.002533,240,0.521484,240,77.0,240,0.999712,240,0.100483,240
2,25,240,False,native,240,0.951906,0.946483,0.961758,0.015275,0.954834,0.939083,0.977186,0.920646,0.985088,240,0.975361,0.972506,0.980506,0.008,0.976844,0.968585,0.988462,0.958684,0.992488,0.002487,240,0.002518,240,0.542969,240,77.0,240,,0,0.100061,240
2,30,240,False,native,240,0.951048,0.943003,0.961758,0.018755,0.954082,0.939111,0.978038,0.92732,0.983609,240,0.97491,0.970666,0.980506,0.009841,0.976448,0.9686,0.988897,0.96229,0.991737,0.002434,240,0.002373,240,0.554688,240,79.0,240,0.999701,240,0.09964,240
2,35,240,False,native,240,0.950333,0.942365,0.963205,0.020839,0.953096,0.936488,0.977421,0.92509,0.985384,240,0.974534,0.970328,0.981258,0.01093,0.975927,0.967203,0.988582,0.961088,0.992638,0.002457,240,0.002373,240,0.556641,240,80.0,240,,0,0.099317,240
2,40,240,False,native,240,0.949619,0.94194,0.962336,0.020396,0.95127,0.933198,0.974488,0.904707,0.987459,240,0.974159,0.970102,0.980807,0.010705,0.974963,0.965445,0.987079,0.94997,0.99369,0.002457,240,0.002518,240,0.570312,240,77.0,240,0.999669,240,0.098649,240
2,45,240,False,native,240,0.947765,0.94102,0.961541,0.020521,0.949993,0.930115,0.975074,0.90389,0.981542,240,0.973182,0.969614,0.980394,0.01078,0.974283,0.963792,0.98738,0.949519,0.990685,0.002426,240,0.002434,240,0.574219,240,77.0,240,,0,0.0978,240
3,0,240,False,native,240,0.953768,0.946128,0.966612,0.020485,0.953358,0.941091,0.969959,0.909078,0.978303,240,0.976337,0.972318,0.983023,0.010705,0.976054,0.969651,0.984751,0.952374,0.989032,0.002327,240,0.002266,240,0.535156,240,79.0,240,0.999692,240,0.106399,240
3,5,240,False,native,240,0.96183,0.955347,0.970761,0.015415,0.958419,0.941176,0.975954,0.858958,0.983905,240,0.980544,0.977163,0.985164,0.008,0.978653,0.969697,0.987831,0.924129,0.991887,0.002365,240,0.002319,240,0.451172,240,81.5,240,,0,0.107021,240
3,10,240,False,native,240,0.962409,0.955849,0.970688,0.014839,0.958683,0.941345,0.975983,0.858699,0.982427,240,0.980844,0.977426,0.985126,0.0077,0.9788,0.969787,0.987846,0.923978,0.991136,0.002419,240,0.002396,240,0.449219,240,82.0,240,0.999817,240,0.107097,240
3,15,240,False,native,240,0.962553,0.955347,0.970397,0.01505,0.959155,0.939762,0.976247,0.865209,0.981247,240,0.980919,0.977163,0.984976,0.007812,0.979056,0.968945,0.987981,0.927734,0.990535,0.002419,240,0.002403,240,0.441406,240,84.0,240,,0,0.107068,240
3,20,240,False,native,240,0.962988,0.955634,0.969522,0.013888,0.959505,0.937926,0.975954,0.877309,0.982427,240,0.981145,0.977314,0.984525,0.007212,0.979256,0.967969,0.987831,0.934645,0.991136,0.002342,240,0.002464,240,0.449219,240,84.5,240,0.999823,240,0.106967,240
3,25,240,False,native,240,0.962264,0.955059,0.969959,0.0149,0.959839,0.939846,0.975367,0.884218,0.983313,240,0.980769,0.977013,0.984751,0.007737,0.979441,0.96899,0.98753,0.938552,0.991587,0.002411,240,0.00248,240,0.453125,240,87.5,240,,0,0.10685,240
3,30,240,False,native,240,0.962843,0.955347,0.969886,0.01454,0.960297,0.944039,0.97484,0.900628,0.980952,240,0.98107,0.977163,0.984713,0.00755,0.979693,0.971214,0.98726,0.947716,0.990385,0.002411,240,0.00238,240,0.441406,240,87.5,240,0.999821,240,0.106711,240
3,35,240,False,native,240,0.961108,0.954485,0.970105,0.01562,0.960293,0.942734,0.975074,0.915396,0.981247,240,0.980168,0.976713,0.984826,0.008113,0.979699,0.970523,0.98738,0.955829,0.990535,0.002319,240,0.002426,240,0.449219,240,93.0,240,,0,0.106478,240
3,40,240,False,native,240,0.961686,0.953912,0.970178,0.016266,0.960712,0.945175,0.97481,0.927599,0.982132,240,0.980469,0.976412,0.984863,0.008451,0.979925,0.971815,0.987245,0.96244,0.990986,0.002388,240,0.002411,240,0.453125,240,92.5,240,0.999814,240,0.106173,240
3,45,240,False,native,240,0.95952,0.952192,0.970178,0.017986,0.960266,0.943897,0.975074,0.927878,0.981837,240,0.979342,0.975511,0.984863,0.009352,0.979693,0.971139,0.98738,0.96259,0.990835,0.002495,240,0.002457,240,0.462891,240,89.0,240,,0,0.105566,240
4,0,240,False,native,240,0.959376,0.951048,0.964871,0.013823,0.953998,0.918432,0.96894,0.899001,0.972733,240,0.979267,0.97491,0.982121,0.007212,0.976389,0.957482,0.984225,0.946815,0.986178,0.002731,240,0.002655,240,0.492188,240,106.0,240,0.999677,240,0.107078,240
