head,n,insufficient_n,native_or_simulated,n_jaccard,jaccard_median,jaccard_q1,jaccard_q3,jaccard_iqr,jaccard_mean,jaccard_p10,jaccard_p90,jaccard_min,jaccard_max,n_recall,recall_median,recall_q1,recall_q3,recall_iqr,recall_mean,recall_p10,recall_p90,recall_min,recall_max,decision_margin_reference_median,n_decision_margin_reference,decision_margin_candidate_median,n_decision_margin_candidate,frac_query_blocks_changed_median,n_frac_query_blocks_changed,boundary_ties_median,n_boundary_ties,spearman_rho_median,n_spearman_rho,sat_frac_q_median,n_sat_frac_q
0,6000,False,native,6000,0.961397,0.944493,0.97244,0.027947,0.956409,0.930115,0.976834,0.859478,0.985976,6000,0.980319,0.971454,0.986028,0.014573,0.97761,0.963792,0.988281,0.924429,0.992939,0.002609,6000,0.002625,6000,0.464844,6000,86.0,6000,0.999784,3000,0.106243,6000
1,6000,False,native,6000,0.964291,0.954198,0.971856,0.017658,0.959765,0.934884,0.976247,0.875986,0.988053,6000,0.981821,0.976562,0.985727,0.009165,0.979387,0.966346,0.987981,0.933894,0.99399,0.002853,6000,0.002853,6000,0.433594,6000,90.0,6000,0.999777,3000,0.106243,6000
2,6000,False,native,6000,0.961686,0.945061,0.971564,0.026503,0.956101,0.927599,0.977128,0.846069,0.991622,6000,0.980469,0.971755,0.985577,0.013822,0.977442,0.96244,0.988431,0.916617,0.995793,0.002686,6000,0.002701,6000,0.453125,6000,94.0,6000,0.999745,3000,0.106243,6000
3,6000,False,native,6000,0.960241,0.948763,0.969231,0.020468,0.956763,0.936009,0.976247,0.858699,0.994905,6000,0.979718,0.973708,0.984375,0.010667,0.977804,0.966947,0.987981,0.923978,0.997446,0.002533,6000,0.002548,6000,0.472656,6000,90.0,6000,0.99975,3000,0.106243,6000
4,6000,False,native,6000,0.962264,0.946199,0.972148,0.025949,0.956512,0.928437,0.977421,0.750888,0.988647,6000,0.980769,0.972356,0.985877,0.013522,0.97764,0.962891,0.988582,0.857722,0.994291,0.002701,6000,0.002716,6000,0.453125,6000,85.0,6000,0.999766,3000,0.106243,6000
5,6000,False,native,6000,0.958799,0.947623,0.966903,0.019281,0.955199,0.933759,0.972733,0.829828,0.985976,6000,0.978966,0.973107,0.983173,0.010066,0.977007,0.965745,0.986178,0.907001,0.992939,0.002625,6000,0.002655,6000,0.488281,6000,105.0,6000,0.999786,3000,0.106243,6000
6,6000,False,native,6000,0.958223,0.940808,0.970688,0.029881,0.954106,0.92509,0.977715,0.858699,0.995204,6000,0.978666,0.969501,0.985126,0.015625,0.97639,0.961088,0.988732,0.923978,0.997596,0.002411,6000,0.002411,6000,0.488281,6000,103.0,6000,0.99979,3000,0.106243,6000
7,6000,False,native,6000,0.962553,0.951334,0.97098,0.019646,0.958788,0.936573,0.975954,0.839436,0.99192,6000,0.980919,0.97506,0.985276,0.010216,0.978881,0.967248,0.987831,0.91271,0.995944,0.002747,6000,0.002731,6000,0.453125,6000,86.0,6000,0.999785,3000,0.106243,6000
8,6000,False,native,6000,0.961686,0.946768,0.970397,0.023629,0.954746,0.925647,0.97566,0.746523,0.98835,6000,0.980469,0.972656,0.984976,0.01232,0.976673,0.961388,0.98768,0.854868,0.994141,0.00264,6000,0.002655,6000,0.457031,6000,94.0,6000,0.999768,3000,0.106243,6000
9,6000,False,native,6000,0.961686,0.947053,0.970688,0.023636,0.953405,0.920092,0.977128,0.745378,0.996101,6000,0.980469,0.972806,0.985126,0.01232,0.975923,0.958383,0.988431,0.854117,0.998047,0.002609,6000,0.002625,6000,0.460938,6000,88.0,6000,0.999784,3000,0.106243,6000
10,6000,False,native,6000,0.959376,0.948478,0.968357,0.019879,0.956995,0.937136,0.975367,0.870977,0.998199,6000,0.979267,0.973558,0.983924,0.010367,0.977953,0.967548,0.98753,0.93104,0.999099,0.002533,6000,0.002548,6000,0.476562,6000,99.0,6000,0.999781,3000,0.106243,6000
11,6000,False,native,6000,0.961541,0.944493,0.971564,0.027071,0.95259,0.925926,0.976247,0.770684,0.987459,6000,0.980394,0.971454,0.985577,0.014123,0.975427,0.961538,0.987981,0.870493,0.99369,0.002663,6000,0.00267,6000,0.457031,6000,91.0,6000,0.999775,3000,0.106243,6000
