arm,timestep,sparsity,intervention_kind,purpose,representation,pool,score,selection_rule,n_cells,jaccard_median,jaccard_iqr,recall_median,spearman_rho_vs_exact_median,swaps_per_query_block_median,frac_query_blocks_changed_median,frac_decisions_changed_median,frac_cells_mask_identical_to_deployed,changed_pair_gap_fp64_median,reference_margin_norm_fp64_median,rel_l2_median,cosine_median,sparsification_error_median,wrong_mask_excess_median,wrong_mask_excess_iqr,signed_wrong_mask_over_sparsification_median,abs_wrong_mask_over_sparsification_median,abs_wrong_mask_over_sparsification_p90,frac_cells_arm_worse_than_deployed,random_matched_excess_median,isolation_ratio_abs,frac_cells_random_worse_than_arm,representation_saturation_frac_median,deployed_score_ties_median,exact_ties_fp64_total,selector_budget_violating_rows_total,selector_budget_violating_frac_max,pool_semantics,score_semantics,select_semantics
V0,25,0.9,reference_deployed,VSA as installed: fused_block_mean + bf16 matmul + fused_topk_mask,bf16,kernel,kernel,kernel,7200,1.0,0.0,1.0,0.9999905196501773,0.0,0.0,0.0,1.0,,0.0012787789266221793,0.2748807519674301,0.9681605398654938,0.2748807519674301,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,278.0,0,12,0.00013354700854700856,pool=kernel_fused_block_mean_bf16_read_fp32_acc_bf16_write,score=kernel_bf16_torch_matmul_acc_fp32_bf16_out,select=kernel_fused_topk_mask_fp32_bisect_index_order_ties
V0,25,0.95,reference_deployed,VSA as installed: fused_block_mean + bf16 matmul + fused_topk_mask,bf16,kernel,kernel,kernel,7200,1.0,0.0,1.0,0.9999905196501773,0.0,0.0,0.0,1.0,,0.002115493289704402,0.349918469786644,0.9515990316867828,0.349918469786644,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,229.0,0,0,0.0,pool=kernel_fused_block_mean_bf16_read_fp32_acc_bf16_write,score=kernel_bf16_torch_matmul_acc_fp32_bf16_out,select=kernel_fused_topk_mask_fp32_bisect_index_order_ties
V0,40,0.8,reference_deployed,VSA as installed: fused_block_mean + bf16 matmul + fused_topk_mask,bf16,kernel,kernel,kernel,7200,1.0,0.0,1.0,0.9999899201944905,0.0,0.0,0.0,1.0,,0.0008322675423859048,0.15788117796182632,0.9888060092926025,0.15788117796182632,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,304.0,0,36,0.00013354700854700856,pool=kernel_fused_block_mean_bf16_read_fp32_acc_bf16_write,score=kernel_bf16_torch_matmul_acc_fp32_bf16_out,select=kernel_fused_topk_mask_fp32_bisect_index_order_ties
V0,40,0.9,reference_deployed,VSA as installed: fused_block_mean + bf16 matmul + fused_topk_mask,bf16,kernel,kernel,kernel,7200,1.0,0.0,1.0,0.9999899201944905,0.0,0.0,0.0,1.0,,0.0012858381282090802,0.22702962160110474,0.9786089062690735,0.22702962160110474,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,281.0,0,0,0.0,pool=kernel_fused_block_mean_bf16_read_fp32_acc_bf16_write,score=kernel_bf16_torch_matmul_acc_fp32_bf16_out,select=kernel_fused_topk_mask_fp32_bisect_index_order_ties
V0,40,0.95,reference_deployed,VSA as installed: fused_block_mean + bf16 matmul + fused_topk_mask,bf16,kernel,kernel,kernel,7200,1.0,0.0,1.0,0.9999899201944905,0.0,0.0,0.0,1.0,,0.002158822001768223,0.29188767075538635,0.9669592976570129,0.29188767075538635,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,228.0,0,24,0.00013354700854700856,pool=kernel_fused_block_mean_bf16_read_fp32_acc_bf16_write,score=kernel_bf16_torch_matmul_acc_fp32_bf16_out,select=kernel_fused_topk_mask_fp32_bisect_index_order_ties
V0,48,0.8,reference_deployed,VSA as installed: fused_block_mean + bf16 matmul + fused_topk_mask,bf16,kernel,kernel,kernel,7200,1.0,0.0,1.0,0.9999895453256725,0.0,0.0,0.0,1.0,,0.0008203869404046719,0.14028222858905792,0.9912248253822327,0.14028222858905792,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,302.0,0,60,0.00013354700854700856,pool=kernel_fused_block_mean_bf16_read_fp32_acc_bf16_write,score=kernel_bf16_torch_matmul_acc_fp32_bf16_out,select=kernel_fused_topk_mask_fp32_bisect_index_order_ties
V0,48,0.9,reference_deployed,VSA as installed: fused_block_mean + bf16 matmul + fused_topk_mask,bf16,kernel,kernel,kernel,7200,1.0,0.0,1.0,0.9999895453256725,0.0,0.0,0.0,1.0,,0.0012563140557701779,0.2033066675066948,0.9828568994998932,0.2033066675066948,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,281.0,0,24,0.00013354700854700856,pool=kernel_fused_block_mean_bf16_read_fp32_acc_bf16_write,score=kernel_bf16_torch_matmul_acc_fp32_bf16_out,select=kernel_fused_topk_mask_fp32_bisect_index_order_ties
V0,48,0.95,reference_deployed,VSA as installed: fused_block_mean + bf16 matmul + fused_topk_mask,bf16,kernel,kernel,kernel,7200,1.0,0.0,1.0,0.9999895453256725,0.0,0.0,0.0,1.0,,0.0021376999995817835,0.2576444298028946,0.973455399274826,0.2576444298028946,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,224.0,0,12,0.00013354700854700856,pool=kernel_fused_block_mean_bf16_read_fp32_acc_bf16_write,score=kernel_bf16_torch_matmul_acc_fp32_bf16_out,select=kernel_fused_topk_mask_fp32_bisect_index_order_ties
V0_FP64,0,0.8,reference_exact,exact selector on the same bf16 Q/K: how far deployed VSA already is from optimal,bf16,fp64,fp64,exact_index_order,7200,0.9912944690519652,0.008962517977389672,0.9956282051282052,0.9999999999999996,0.5464743589743589,0.4775641025641026,0.0017515203813280736,0.0,0.001275255318037536,0.0008702760592591352,0.2490069568157196,0.9714876413345337,0.24846188724040985,0.00022292137145996094,0.000575631856918335,0.0009864008726374767,0.0010115193981391987,0.00403889311027047,0.8894444444444445,-0.001182563602924347,5.304846256684492,0.1388888888888889,0.0,0.0,0,0,0.0,pool=fp64_values_acc_fp64_valid_token_denominator,score=fp64_values_acc_fp64,select=exact_stable_sort_index_order_ties_at_float64
V0_FP64,0,0.9,reference_exact,exact selector on the same bf16 Q/K: how far deployed VSA already is from optimal,bf16,fp64,fp64,exact_index_order,7200,0.9858055716919657,0.012876753935876173,0.9928520553520553,0.9999999999999996,0.45032051282051283,0.40705128205128205,0.001443334976988823,0.0,0.001522751401883161,0.0013249281927685229,0.3560304194688797,0.945440948009491,0.3552883416414261,0.00046782195568084717,0.001272398978471756,0.0013814519183662035,0.0013964988564103852,0.006118508735930439,0.9119444444444444,-0.0027151107788085938,5.803726708074534,0.11930555555555555,0.0,0.0,0,0,0.0,pool=fp64_values_acc_fp64_valid_token_denominator,score=fp64_values_acc_fp64,select=exact_stable_sort_index_order_ties_at_float64
