arm,cfg_branch,sparsity,intervention_kind,purpose,representation,pool,score,selection_rule,n_cells,jaccard_median,jaccard_iqr,recall_median,spearman_rho_vs_exact_median,swaps_per_query_block_median,frac_query_blocks_changed_median,frac_decisions_changed_median,frac_cells_mask_identical_to_deployed,changed_pair_gap_fp64_median,reference_margin_norm_fp64_median,rel_l2_median,cosine_median,sparsification_error_median,wrong_mask_excess_median,wrong_mask_excess_iqr,signed_wrong_mask_over_sparsification_median,abs_wrong_mask_over_sparsification_median,abs_wrong_mask_over_sparsification_p90,frac_cells_arm_worse_than_deployed,random_matched_excess_median,isolation_ratio_abs,frac_cells_random_worse_than_arm,representation_saturation_frac_median,deployed_score_ties_median,exact_ties_fp64_total,selector_budget_violating_rows_total,selector_budget_violating_frac_max,pool_semantics,score_semantics,select_semantics
V0_FP64,positive,0.9,reference_exact,exact selector on the same bf16 Q/K: how far deployed VSA already is from optimal,bf16,fp64,fp64,exact_index_order,21600,0.9891213600829812,0.007690705757996685,0.994530932030932,0.9999999999999996,0.34455128205128205,0.32371794871794873,0.0011043310322156475,0.0,0.0010683717912891946,0.0012945462276439243,0.27954261004924774,0.9669539034366608,0.2789868116378784,0.0003208145499229431,0.0006099068559706211,0.0012509346669525906,0.0012929337881132626,0.00424289828587723,0.8964351851851852,-0.001072414219379425,3.3427854803873753,0.3016666666666667,0.0,0.0,0,0,0.0,pool=fp64_values_acc_fp64_valid_token_denominator,score=fp64_values_acc_fp64,select=exact_stable_sort_index_order_ties_at_float64
V0_FP64,positive,0.95,reference_exact,exact selector on the same bf16 Q/K: how far deployed VSA already is from optimal,bf16,fp64,fp64,exact_index_order,21600,0.9841017488076311,0.011023960224235019,0.9919871794871795,0.9999999999999996,0.2564102564102564,0.2483974358974359,0.000821827744904668,0.0,0.00120348357322892,0.0021043708223563292,0.35005418956279755,0.9512543082237244,0.34931039810180664,0.00048698484897613525,0.000906623899936676,0.0014631797869743151,0.0015219162954139853,0.004871314549539473,0.8938888888888888,-0.0018968209624290466,3.89503075181298,0.27550925925925923,0.0,0.0,0,0,0.0,pool=fp64_values_acc_fp64_valid_token_denominator,score=fp64_values_acc_fp64,select=exact_stable_sort_index_order_ties_at_float64
VA_FP8,negative,0.8,intervention_a,"routing input quantized to FP8-E4M3, kernel arithmetic unchanged",fp8_e4m3,kernel,kernel,kernel,21600,0.9910403185664509,0.004037646320186772,0.9955,0.9999575966918808,0.5625,0.4951923076923077,0.0018028846153846155,0.0,0.0012886978686200284,0.0008366163812478612,0.1917995885014534,0.9833788275718689,0.19181013852357864,-1.8998980522155762e-07,0.00014714151620864868,-9.989273411205157e-07,0.0003937872561578634,0.0013552142665472344,0.4993518518518518,-0.0005221441388130188,2748.274509803922,0.3921296296296296,1.3856806617695838e-06,321.0,0,132,0.00013354700854700856,pool=kernel_fused_block_mean_bf16_read_fp32_acc_bf16_write,score=kernel_bf16_torch_matmul_acc_fp32_bf16_out,select=kernel_fused_topk_mask_fp32_bisect_index_order_ties
VA_FP8,negative,0.9,intervention_a,"routing input quantized to FP8-E4M3, kernel arithmetic unchanged",fp8_e4m3,kernel,kernel,kernel,21600,0.9867589831707687,0.006420565731701466,0.9933353683353683,0.9999575966918808,0.4198717948717949,0.38621794871794873,0.0013457429322813938,0.0,0.0015477581138922687,0.0012840092540768885,0.27766554057598114,0.9672317802906036,0.2776983678340912,-6.973743438720703e-06,0.0002505071461200714,-2.602147957619223e-05,0.0004624574621375625,0.0017030090266493166,0.4841666666666667,-0.0013993680477142334,200.66239316239316,0.332037037037037,1.3856806617695838e-06,296.0,0,72,0.00013354700854700856,pool=kernel_fused_block_mean_bf16_read_fp32_acc_bf16_write,score=kernel_bf16_torch_matmul_acc_fp32_bf16_out,select=kernel_fused_topk_mask_fp32_bisect_index_order_ties
VA_FP8,negative,0.95,intervention_a,"routing input quantized to FP8-E4M3, kernel arithmetic unchanged",fp8_e4m3,kernel,kernel,kernel,21600,0.982525814138205,0.010023734279226648,0.9911858974358975,0.9999575966918808,0.28205128205128205,0.2708333333333333,0.0009040105193951348,0.0,0.0017657180962766213,0.002087272753560246,0.3499771058559418,0.9514055252075195,0.35013139247894287,-5.945563316345215e-06,0.0003824271261692047,-2.0341457559468342e-05,0.0005625039629663271,0.0020306520506536262,0.4897222222222222,-0.0023162364959716797,389.57393483709274,0.3063425925925926,1.3856806617695838e-06,243.0,0,0,0.0,pool=kernel_fused_block_mean_bf16_read_fp32_acc_bf16_write,score=kernel_bf16_torch_matmul_acc_fp32_bf16_out,select=kernel_fused_topk_mask_fp32_bisect_index_order_ties
VA_FP8,positive,0.8,intervention_a,"routing input quantized to FP8-E4M3, kernel arithmetic unchanged",fp8_e4m3,kernel,kernel,kernel,21600,0.9911928010721808,0.0038097317343550596,0.995576923076923,0.99995856021911,0.5528846153846154,0.48878205128205127,0.0017720660749506903,0.0,0.0012782796438510994,0.0008442532453607535,0.1954496204853058,0.9827772974967957,0.19547734409570694,-8.270144462585449e-07,0.00014453567564487457,-4.298429677323988e-06,0.0003819537522772029,0.001340087749301396,0.49680555555555556,-0.0005656406283378601,683.9549549549549,0.38134259259259257,1.4345870340548572e-06,321.0,0,216,0.00013354700854700856,pool=kernel_fused_block_mean_bf16_read_fp32_acc_bf16_write,score=kernel_bf16_torch_matmul_acc_fp32_bf16_out,select=kernel_fused_topk_mask_fp32_bisect_index_order_ties
VA_FP8,positive,0.9,intervention_a,"routing input quantized to FP8-E4M3, kernel arithmetic unchanged",fp8_e4m3,kernel,kernel,kernel,21600,0.9869096055191934,0.006221179081736361,0.9934116809116809,0.99995856021911,0.41506410256410253,0.38301282051282054,0.0013303336620644312,0.0,0.0015445700886582221,0.0012945462276439243,0.27903471887111664,0.9670948684215546,0.2789868116378784,-2.466142177581787e-06,0.00024081021547317505,-9.277949792938759e-06,0.0004409431590155665,0.0016211731228928702,0.49365740740740743,-0.0014240667223930359,577.4471299093656,0.32685185185185184,1.4345870340548572e-06,296.0,0,60,0.00013354700854700856,pool=kernel_fused_block_mean_bf16_read_fp32_acc_bf16_write,score=kernel_bf16_torch_matmul_acc_fp32_bf16_out,select=kernel_fused_topk_mask_fp32_bisect_index_order_ties
VA_FP8,positive,0.95,intervention_a,"routing input quantized to FP8-E4M3, kernel arithmetic unchanged",fp8_e4m3,kernel,kernel,kernel,21600,0.9827226690497468,0.009535679816801146,0.9912860576923077,0.99995856021911,0.27884615384615385,0.2676282051282051,0.0008937376725838264,0.0,0.0017652582776566332,0.0021043708223563292,0.3493407964706421,0.9514514207839966,0.34931039810180664,-1.8961727619171143e-06,0.0003575459122657776,-5.194801416966247e-06,0.0005189602394783616,0.0019357535653843465,0.4963888888888889,-0.002256833016872406,1190.2043222003929,0.3005555555555556,1.4345870340548572e-06,243.0,0,0,0.0,pool=kernel_fused_block_mean_bf16_read_fp32_acc_bf16_write,score=kernel_bf16_torch_matmul_acc_fp32_bf16_out,select=kernel_fused_topk_mask_fp32_bisect_index_order_ties
VA_NVFP4,negative,0.8,intervention_a,"routing input quantized to NVFP4, kernel arithmetic unchanged",nvfp4,kernel,kernel,kernel,21600,0.9768104923018438,0.008633601344328001,0.9882692307692308,0.9996659376022513,1.4663461538461537,0.8685897435897436,0.00469982741617357,0.0,0.003941371573228858,0.0008366163812478612,0.19178619235754013,0.9833638072013855,0.19181013852357864,-3.2901763916015625e-05,0.00041762739419937134,-0.0001729164076290532,0.0011090104200090828,0.005067902060717346,0.4543055555555556,-0.0012963563203811646,39.400815217391305,0.40444444444444444,0.08807500079274178,321.0,0,120,0.00013354700854700856,pool=kernel_fused_block_mean_bf16_read_fp32_acc_bf16_write,score=kernel_bf16_torch_matmul_acc_fp32_bf16_out,select=kernel_fused_topk_mask_fp32_bisect_index_order_ties
VA_NVFP4,negative,0.9,intervention_a,"routing input quantized to NVFP4, kernel arithmetic unchanged",nvfp4,kernel,kernel,kernel,21600,0.9684542586750788,0.013969203638543926,0.9839743589743589,0.9996659376022513,1.0096153846153846,0.7419871794871795,0.0032359467455621302,0.0,0.0037465562693249532,0.0012840092540768885,0.2777547985315323,0.9672192931175232,0.2776983678340912,-1.3053417205810547e-05,0.0006418153643608093,-4.707710105920596e-05,0.001146157154647018,0.006191814563255653,0.48819444444444443,-0.003438122570514679,263.388698630137,0.3381018518518519,0.08807500079274178,297.0,0,24,0.00013354700854700856,pool=kernel_fused_block_mean_bf16_read_fp32_acc_bf16_write,score=kernel_bf16_torch_matmul_acc_fp32_bf16_out,select=kernel_fused_topk_mask_fp32_bisect_index_order_ties
VA_NVFP4,negative,0.95,intervention_a,"routing input quantized to NVFP4, kernel arithmetic unchanged",nvfp4,kernel,kernel,kernel,21600,0.9599528857479388,0.019377419656217088,0.9795673076923077,0.9996659376022513,0.6538461538461539,0.5592948717948718,0.002095660749506903,0.0,0.003568773132669372,0.002087272753560246,0.34962350130081177,0.9513266980648041,0.35013139247894287,1.586228609085083e-05,0.000844217836856842,4.167998568686496e-05,0.001175724887245274,0.005894287359474498,0.5120370370370371,-0.005470573902130127,344.8792860497886,0.30694444444444446,0.08807500079274178,244.0,0,0,0.0,pool=kernel_fused_block_mean_bf16_read_fp32_acc_bf16_write,score=kernel_bf16_torch_matmul_acc_fp32_bf16_out,select=kernel_fused_topk_mask_fp32_bisect_index_order_ties
VA_NVFP4,positive,0.8,intervention_a,"routing input quantized to NVFP4, kernel arithmetic unchanged",nvfp4,kernel,kernel,kernel,21600,0.9772614928324271,0.008162154735510185,0.9885,0.999673753387611,1.4375,0.8637820512820513,0.004607371794871795,0.0,0.003879372055992051,0.0008442532453607535,0.19539305567741394,0.9827964901924133,0.19547734409570694,-3.0472874641418457e-05,0.0004059523344039917,-0.00015175436731342255,0.001032762626039194,0.004783451711507973,0.45449074074074075,-0.0014369934797286987,47.15647921760391,0.39402777777777775,0.08798587322235107,321.0,0,132,0.00013354700854700856,pool=kernel_fused_block_mean_bf16_read_fp32_acc_bf16_write,score=kernel_bf16_torch_matmul_acc_fp32_bf16_out,select=kernel_fused_topk_mask_fp32_bisect_index_order_ties
VA_NVFP4,positive,0.9,intervention_a,"routing input quantized to NVFP4, kernel arithmetic unchanged",nvfp4,kernel,kernel,kernel,21600,0.968848600190314,0.012847829699746072,0.9841778591778592,0.999673753387611,0.9967948717948718,0.7355769230769231,0.003194855358316897,0.0,0.0037074617022394406,0.0012945462276439243,0.27893055975437164,0.9670953154563904,0.2789868116378784,-1.860782504081726e-05,0.0006164833903312683,-6.713437799769563e-05,0.0010908111447637142,0.005600376367686649,0.4820833333333333,-0.003449834883213043,185.396996996997,0.3335648148148148,0.08798587322235107,296.0,0,12,0.00013354700854700856,pool=kernel_fused_block_mean_bf16_read_fp32_acc_bf16_write,score=kernel_bf16_torch_matmul_acc_fp32_bf16_out,select=kernel_fused_topk_mask_fp32_bisect_index_order_ties
VA_NVFP4,positive,0.95,intervention_a,"routing input quantized to NVFP4, kernel arithmetic unchanged",nvfp4,kernel,kernel,kernel,21600,0.9603377184370705,0.01824053533340364,0.9797676282051282,0.999673753387611,0.6474358974358975,0.5560897435897436,0.0020751150558842866,0.0,0.00354751945544967,0.0021043708223563292,0.34913909435272217,0.9514581263065338,0.34931039810180664,-7.152557373046875e-07,0.0008168183267116547,-1.9312807533813092e-06,0.0011437678863161513,0.0056178574762600275,0.49949074074074074,-0.0054209232330322266,7579.0,0.3024537037037037,0.08798587322235107,243.0,0,12,0.00013354700854700856,pool=kernel_fused_block_mean_bf16_read_fp32_acc_bf16_write,score=kernel_bf16_torch_matmul_acc_fp32_bf16_out,select=kernel_fused_topk_mask_fp32_bisect_index_order_ties
