arm,layer,sparsity,intervention_kind,purpose,representation,pool,score,selection_rule,n_cells,jaccard_median,jaccard_iqr,recall_median,spearman_rho_vs_exact_median,swaps_per_query_block_median,frac_query_blocks_changed_median,frac_decisions_changed_median,frac_cells_mask_identical_to_deployed,changed_pair_gap_fp64_median,reference_margin_norm_fp64_median,rel_l2_median,cosine_median,sparsification_error_median,wrong_mask_excess_median,wrong_mask_excess_iqr,signed_wrong_mask_over_sparsification_median,abs_wrong_mask_over_sparsification_median,abs_wrong_mask_over_sparsification_p90,frac_cells_arm_worse_than_deployed,random_matched_excess_median,isolation_ratio_abs,frac_cells_random_worse_than_arm,representation_saturation_frac_median,deployed_score_ties_median,exact_ties_fp64_total,selector_budget_violating_rows_total,selector_budget_violating_frac_max,pool_semantics,score_semantics,select_semantics
V0,11,0.9,reference_deployed,VSA as installed: fused_block_mean + bf16 matmul + fused_topk_mask,bf16,kernel,kernel,kernel,1440,1.0,0.0,1.0,0.9999843392290382,0.0,0.0,0.0,1.0,,0.0013103018926396578,0.30224114656448364,0.9617077112197876,0.30224114656448364,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,305.5,0,0,0.0,pool=kernel_fused_block_mean_bf16_read_fp32_acc_bf16_write,score=kernel_bf16_torch_matmul_acc_fp32_bf16_out,select=kernel_fused_topk_mask_fp32_bisect_index_order_ties
V0,11,0.95,reference_deployed,VSA as installed: fused_block_mean + bf16 matmul + fused_topk_mask,bf16,kernel,kernel,kernel,1440,1.0,0.0,1.0,0.9999843392290382,0.0,0.0,0.0,1.0,,0.0021111426042373306,0.37936288118362427,0.9416300058364868,0.37936288118362427,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,248.0,0,0,0.0,pool=kernel_fused_block_mean_bf16_read_fp32_acc_bf16_write,score=kernel_bf16_torch_matmul_acc_fp32_bf16_out,select=kernel_fused_topk_mask_fp32_bisect_index_order_ties
V0,12,0.8,reference_deployed,VSA as installed: fused_block_mean + bf16 matmul + fused_topk_mask,bf16,kernel,kernel,kernel,1440,1.0,0.0,1.0,0.9999918578167699,0.0,0.0,0.0,1.0,,0.0008430143736962916,0.19203152507543564,0.9826260805130005,0.19203152507543564,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,356.5,0,0,0.0,pool=kernel_fused_block_mean_bf16_read_fp32_acc_bf16_write,score=kernel_bf16_torch_matmul_acc_fp32_bf16_out,select=kernel_fused_topk_mask_fp32_bisect_index_order_ties
V0,12,0.9,reference_deployed,VSA as installed: fused_block_mean + bf16 matmul + fused_topk_mask,bf16,kernel,kernel,kernel,1440,1.0,0.0,1.0,0.9999918578167699,0.0,0.0,0.0,1.0,,0.0013075141217901527,0.27437329292297363,0.966253012418747,0.27437329292297363,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,312.5,0,0,0.0,pool=kernel_fused_block_mean_bf16_read_fp32_acc_bf16_write,score=kernel_bf16_torch_matmul_acc_fp32_bf16_out,select=kernel_fused_topk_mask_fp32_bisect_index_order_ties
V0,12,0.95,reference_deployed,VSA as installed: fused_block_mean + bf16 matmul + fused_topk_mask,bf16,kernel,kernel,kernel,1440,1.0,0.0,1.0,0.9999918578167699,0.0,0.0,0.0,1.0,,0.0021572527494809505,0.3342687636613846,0.9528513252735138,0.3342687636613846,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,237.0,0,0,0.0,pool=kernel_fused_block_mean_bf16_read_fp32_acc_bf16_write,score=kernel_bf16_torch_matmul_acc_fp32_bf16_out,select=kernel_fused_topk_mask_fp32_bisect_index_order_ties
V0,13,0.8,reference_deployed,VSA as installed: fused_block_mean + bf16 matmul + fused_topk_mask,bf16,kernel,kernel,kernel,1440,1.0,0.0,1.0,0.9999879294798928,0.0,0.0,0.0,1.0,,0.0008332046917559409,0.20873186737298965,0.9798087179660797,0.20873186737298965,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,381.0,0,12,0.00013354700854700856,pool=kernel_fused_block_mean_bf16_read_fp32_acc_bf16_write,score=kernel_bf16_torch_matmul_acc_fp32_bf16_out,select=kernel_fused_topk_mask_fp32_bisect_index_order_ties
V0,13,0.9,reference_deployed,VSA as installed: fused_block_mean + bf16 matmul + fused_topk_mask,bf16,kernel,kernel,kernel,1440,1.0,0.0,1.0,0.9999879294798928,0.0,0.0,0.0,1.0,,0.0012797088526428544,0.2824755311012268,0.9659214913845062,0.2824755311012268,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,342.0,0,12,0.00013354700854700856,pool=kernel_fused_block_mean_bf16_read_fp32_acc_bf16_write,score=kernel_bf16_torch_matmul_acc_fp32_bf16_out,select=kernel_fused_topk_mask_fp32_bisect_index_order_ties
V0,13,0.95,reference_deployed,VSA as installed: fused_block_mean + bf16 matmul + fused_topk_mask,bf16,kernel,kernel,kernel,1440,1.0,0.0,1.0,0.9999879294798928,0.0,0.0,0.0,1.0,,0.002044490563726991,0.35657934844493866,0.9486366510391235,0.35657934844493866,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,279.0,0,0,0.0,pool=kernel_fused_block_mean_bf16_read_fp32_acc_bf16_write,score=kernel_bf16_torch_matmul_acc_fp32_bf16_out,select=kernel_fused_topk_mask_fp32_bisect_index_order_ties
V0,14,0.8,reference_deployed,VSA as installed: fused_block_mean + bf16 matmul + fused_topk_mask,bf16,kernel,kernel,kernel,1440,1.0,0.0,1.0,0.9999825708526167,0.0,0.0,0.0,1.0,,0.0008652489188367411,0.21915050595998764,0.9783788025379181,0.21915050595998764,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,340.0,0,12,0.00013354700854700856,pool=kernel_fused_block_mean_bf16_read_fp32_acc_bf16_write,score=kernel_bf16_torch_matmul_acc_fp32_bf16_out,select=kernel_fused_topk_mask_fp32_bisect_index_order_ties
V0,14,0.9,reference_deployed,VSA as installed: fused_block_mean + bf16 matmul + fused_topk_mask,bf16,kernel,kernel,kernel,1440,1.0,0.0,1.0,0.9999825708526167,0.0,0.0,0.0,1.0,,0.0013359583605637758,0.3084939867258072,0.9592400789260864,0.3084939867258072,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,304.0,0,0,0.0,pool=kernel_fused_block_mean_bf16_read_fp32_acc_bf16_write,score=kernel_bf16_torch_matmul_acc_fp32_bf16_out,select=kernel_fused_topk_mask_fp32_bisect_index_order_ties
