arm,layer,sparsity,arm_label,ladder_position,representation,native_or_simulated,n_cells,jaccard_median,jaccard_iqr,jaccard_p05,recall_median,spearman_rho_median,frac_decisions_changed_median,frac_query_blocks_changed_median,swaps_per_query_block_median,jaccard_pooling_only_median,jaccard_vs_study1_arm_median,deployed_score_ties_median,deployed_score_ties_max,exact_ties_fp64_total,reference_margin_norm_fp64_median,changed_pair_gap_fp64_median,rel_l2_median,cosine_median,sparsification_error_median,wrong_mask_excess_median,wrong_mask_excess_iqr,wrong_mask_excess_p90,abs_wrong_mask_over_sparsification_median,abs_wrong_mask_over_sparsification_p90,frac_cells_arm_worse_than_reference,random_matched_excess_median,isolation_ratio_median_of_medians,isolation_ratio_abs,frac_cells_random_worse_than_arm,pool_semantics,score_semantics
R0,19,0.9,"repr=bf16, pool=fp64/native, score=fp64/native",fp64,bf16,native,144,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.9771275805732957,0.0,0,0,0.0017894356227208205,,0.15037209540605545,0.9924807846546173,0.15037209540605545,0.0,0.0,0.0,0.0,0.0,0.0,,,,,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R0,2,0.9,"repr=bf16, pool=fp64/native, score=fp64/native",fp64,bf16,native,144,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.9653059825107515,0.0,0,0,0.001511628849490534,,0.09361639991402626,0.9961626529693604,0.09361639991402626,0.0,0.0,0.0,0.0,0.0,0.0,,,,,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R0,20,0.9,"repr=bf16, pool=fp64/native, score=fp64/native",fp64,bf16,native,144,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.9668304456041943,0.0,0,0,0.0017665611843413033,,0.06276556476950645,0.9982771873474121,0.06276556476950645,0.0,0.0,0.0,0.0,0.0,0.0,,,,,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R0,21,0.9,"repr=bf16, pool=fp64/native, score=fp64/native",fp64,bf16,native,144,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.9725865115321921,0.0,0,0,0.001788848840842198,,0.10695641115307808,0.9951632022857666,0.10695641115307808,0.0,0.0,0.0,0.0,0.0,0.0,,,,,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R0,22,0.9,"repr=bf16, pool=fp64/native, score=fp64/native",fp64,bf16,native,144,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.9771275805732957,0.0,0,0,0.001947465792261445,,0.26304690539836884,0.9711042046546936,0.26304690539836884,0.0,0.0,0.0,0.0,0.0,0.0,,,,,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R0,23,0.9,"repr=bf16, pool=fp64/native, score=fp64/native",fp64,bf16,native,144,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.9733175214942188,0.0,0,0,0.0017077393594301517,,0.1957385465502739,0.9825698435306549,0.1957385465502739,0.0,0.0,0.0,0.0,0.0,0.0,,,,,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R0,24,0.9,"repr=bf16, pool=fp64/native, score=fp64/native",fp64,bf16,native,144,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.9803629872061886,0.0,0,0,0.0021475877848179696,,0.24836669862270355,0.9806753993034363,0.24836669862270355,0.0,0.0,0.0,0.0,0.0,0.0,,,,,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R0,25,0.9,"repr=bf16, pool=fp64/native, score=fp64/native",fp64,bf16,native,144,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.972659581116601,0.0,0,0,0.0014645521781915935,,0.1193726547062397,0.9936130344867706,0.1193726547062397,0.0,0.0,0.0,0.0,0.0,0.0,,,,,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R0,26,0.9,"repr=bf16, pool=fp64/native, score=fp64/native",fp64,bf16,native,144,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.9715639918541557,0.0,0,0,0.0017387365062641186,,0.05248250439763069,0.9986871778964996,0.05248250439763069,0.0,0.0,0.0,0.0,0.0,0.0,,,,,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R0,27,0.9,"repr=bf16, pool=fp64/native, score=fp64/native",fp64,bf16,native,144,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.9636390696508547,0.0,0,0,0.0017355860370812668,,0.03238777071237564,0.9995347559452057,0.03238777071237564,0.0,0.0,0.0,0.0,0.0,0.0,,,,,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R0,28,0.9,"repr=bf16, pool=fp64/native, score=fp64/native",fp64,bf16,native,144,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.9392526768155001,0.0,0,0,0.0014355490645908075,,0.06457894295454025,0.998043566942215,0.06457894295454025,0.0,0.0,0.0,0.0,0.0,0.0,,,,,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R0,29,0.9,"repr=bf16, pool=fp64/native, score=fp64/native",fp64,bf16,native,144,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.9533382245047689,0.0,0,0,0.0015924839017478092,,0.06058032438158989,0.9983710646629333,0.06058032438158989,0.0,0.0,0.0,0.0,0.0,0.0,,,,,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R0,3,0.9,"repr=bf16, pool=fp64/native, score=fp64/native",fp64,bf16,native,144,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.9733175214942188,0.0,0,0,0.0014567122377988516,,0.18105003237724304,0.987170547246933,0.18105003237724304,0.0,0.0,0.0,0.0,0.0,0.0,,,,,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R0,4,0.9,"repr=bf16, pool=fp64/native, score=fp64/native",fp64,bf16,native,144,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.9759536885854238,0.0,0,0,0.001614402604234,,0.13836897909641266,0.992186963558197,0.13836897909641266,0.0,0.0,0.0,0.0,0.0,0.0,,,,,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R0,5,0.9,"repr=bf16, pool=fp64/native, score=fp64/native",fp64,bf16,native,144,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.9684300267977634,0.0,0,0,0.0016829995339602121,,0.0838133804500103,0.9969726204872131,0.0838133804500103,0.0,0.0,0.0,0.0,0.0,0.0,,,,,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R0,6,0.9,"repr=bf16, pool=fp64/native, score=fp64/native",fp64,bf16,native,144,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.9792588214537483,0.0,0,0,0.0015256340605509146,,0.2393656000494957,0.9770519137382507,0.2393656000494957,0.0,0.0,0.0,0.0,0.0,0.0,,,,,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R0,7,0.9,"repr=bf16, pool=fp64/native, score=fp64/native",fp64,bf16,native,144,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.9774947106413303,0.0,0,0,0.0016920336225688293,,0.15891379863023758,0.9899204969406128,0.15891379863023758,0.0,0.0,0.0,0.0,0.0,0.0,,,,,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R0,8,0.9,"repr=bf16, pool=fp64/native, score=fp64/native",fp64,bf16,native,144,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.9730250590051126,0.0,0,0,0.001601046764294153,,0.11539429426193237,0.9947774112224579,0.11539429426193237,0.0,0.0,0.0,0.0,0.0,0.0,,,,,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R0,9,0.9,"repr=bf16, pool=fp64/native, score=fp64/native",fp64,bf16,native,144,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.9796267380474385,0.0,0,0,0.0018502076505641121,,0.20188315957784653,0.983690083026886,0.20188315957784653,0.0,0.0,0.0,0.0,0.0,0.0,,,,,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R1,0,0.9,"repr=nvfp4, pool=fp64/native, score=fp64/native",fp64,nvfp4,native,144,0.9488343180223907,0.026845303975529866,0.9073209964258794,0.9737454927884616,0.9997168762170011,0.00533294677734375,0.84375,1.365234375,0.9488343180223907,,0.0,0,0,0.0015845494933197323,0.006703730732522303,0.10200007259845734,0.9950771629810333,0.10181652009487152,-6.423518061637878e-05,0.001078159548342228,0.0011298987083137035,0.0038420087445657034,0.036547850475326195,0.4027777777777778,0.0003174394369125366,-4.9418314678420225,4.9418314678420225,0.5277777777777778,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R1,1,0.9,"repr=nvfp4, pool=fp64/native, score=fp64/native",fp64,nvfp4,native,144,0.9595201295355855,0.01991583853467238,0.9296179510496317,0.9793419471153846,0.9996648146208196,0.0041961669921875,0.748046875,1.07421875,0.9595201295355855,,0.0,0,0,0.0014621617224944705,0.0044935362433981205,0.08567993342876434,0.9972984194755554,0.08528706803917885,8.913688361644745e-06,0.0006675663171336055,0.001658020168542862,0.005305555202850346,0.0390222620663381,0.5069444444444444,0.008894604630768299,997.8590533904503,997.8590533904503,0.7916666666666666,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R1,10,0.9,"repr=nvfp4, pool=fp64/native, score=fp64/native",fp64,nvfp4,native,144,0.9797003410641714,0.012083731467834258,0.9587992937021778,0.98974609375,0.9997685181925543,0.00208282470703125,0.48046875,0.533203125,0.9797003410641714,,0.0,0,0,0.0017174002653127815,0.002495798488556921,0.2250228077173233,0.9791260063648224,0.22519441694021225,-1.566857099533081e-05,0.000416511669754982,0.0003476843237876892,0.0008974191894138934,0.002726027210927002,0.4861111111111111,0.00013509392738342285,-8.621968616262482,8.621968616262482,0.5138888888888888,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
