arm,sparsity,arm_label,ladder_position,representation,native_or_simulated,n_cells,jaccard_median,jaccard_iqr,jaccard_p05,recall_median,spearman_rho_median,frac_decisions_changed_median,frac_query_blocks_changed_median,swaps_per_query_block_median,jaccard_pooling_only_median,jaccard_vs_study1_arm_median,deployed_score_ties_median,deployed_score_ties_max,exact_ties_fp64_total,reference_margin_norm_fp64_median,changed_pair_gap_fp64_median,rel_l2_median,cosine_median,sparsification_error_median,wrong_mask_excess_median,wrong_mask_excess_iqr,wrong_mask_excess_p90,abs_wrong_mask_over_sparsification_median,abs_wrong_mask_over_sparsification_p90,frac_cells_arm_worse_than_reference,random_matched_excess_median,isolation_ratio_median_of_medians,isolation_ratio_abs,frac_cells_random_worse_than_arm,pool_semantics,score_semantics,region
R1,0.9,"repr=nvfp4, pool=fp64/native, score=fp64/native",fp64,nvfp4,native,720,0.9776415997567321,0.014658611191619486,0.9539116395126964,0.9886944110576923,0.9997635035252295,0.00229644775390625,0.5234375,0.587890625,0.9776415997567321,,0.0,0,0,0.0016967565966910137,0.002594306761397474,0.18193743377923965,0.9860808253288269,0.1820780113339424,3.1758099794387817e-06,0.0003406275063753128,0.0004000604152679443,0.0009833558173190564,0.004053578828404983,0.5055555555555555,0.0003276541829109192,103.17184750733138,103.17184750733138,0.5694444444444444,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64,unaffected
R2,0.9,"repr=bf16, pool=fp32/native, score=fp32/native",fp32,bf16,native,720,1.0,0.0,1.0,1.0,0.9999999993015054,0.0,0.0,0.0,1.0,0.9776415997567321,0.0,0,0,0.0016967565966910137,5.506388999045281e-08,0.1820780113339424,0.9860423803329468,0.1820780113339424,0.0,0.0,0.0,0.0,0.0,0.004166666666666667,0.0,,,0.001388888888888889,pool=fp32_values_torch_sum_acc_fp32,score=fp32_values_torch_matmul_acc_fp32_tf32_disabled,unaffected
R3,0.9,"repr=nvfp4, pool=fp32/native, score=fp32/native",fp32,nvfp4,native,720,0.9776415997567321,0.014658611191619486,0.9539116395126964,0.9886944110576923,0.9997635051404536,0.00229644775390625,0.5234375,0.587890625,0.9776415997567321,1.0,0.0,0,0,0.0016967565966910137,0.002594306761397474,0.18193743377923965,0.9860808253288269,0.1820780113339424,3.1758099794387817e-06,0.0003406275063753128,0.0004000604152679443,0.0009833558173190564,0.004053578828404983,0.5055555555555555,0.0003388598561286926,106.70029325513197,106.70029325513197,0.575,pool=fp32_values_torch_sum_acc_fp32,score=fp32_values_torch_matmul_acc_fp32_tf32_disabled,unaffected
R4,0.9,"repr=bf16, pool=bf16/native, score=bf16/native",bf16_acc_fp32,bf16,native,720,0.9901330542682015,0.008177644585265265,0.9716516168993288,0.9950420673076923,0.9999882816896377,0.001007080078125,0.25,0.2578125,0.996999699969997,0.9747811897344608,98.0,222,0,0.0016967565966910137,0.000994535575473569,0.18208280950784683,0.9860483109951019,0.1820780113339424,-3.975816071033478e-06,0.00017573684453964233,0.00026400089263916015,0.0005560695264945302,0.0019922453089795404,0.4847222222222222,0.00015065446496009827,-37.892714921527286,37.892714921527286,0.5861111111111111,pool=bf16_values_torch_sum_acc_fp32,score=bf16_values_torch_matmul_acc_fp32,unaffected
R5,0.9,"repr=nvfp4, pool=bf16/native, score=bf16/native",bf16_acc_fp32,nvfp4,native,720,0.9750741839762611,0.015975731149826422,0.9501476120629103,0.9873798076923077,0.9997625692216342,0.0025634765625,0.56640625,0.65625,0.9775681497437421,0.9901330542682015,98.0,217,0,0.0016967565966910137,0.003019062960213515,0.1821337193250656,0.9860507547855377,0.1820780113339424,4.76837158203125e-06,0.00038216356188058853,0.0005429260432720185,0.0011517880013763148,0.004612786054638255,0.5083333333333333,0.0003566369414329529,74.7921875,74.7921875,0.5833333333333334,pool=bf16_values_torch_sum_acc_fp32,score=bf16_values_torch_matmul_acc_fp32,unaffected
R4L,0.9,"repr=bf16, pool=bf16/low, score=bf16/low",bf16_acc_bf16,bf16,native,720,0.958006989225916,0.02397438925997608,0.8992452742107826,0.9785531850961539,0.9996936862635452,0.00435638427734375,0.78515625,1.115234375,0.9847920083494857,0.951977714416073,100.0,220,0,0.0016967565966910137,0.006302283969267603,0.18224402517080307,0.9861060678958893,0.1820780113339424,-3.0621886253356934e-05,0.00047088414430618286,0.0005996078252792358,0.00140152945861308,0.006972018334860791,0.4666666666666667,0.0006517320871353149,-21.283211678832117,21.283211678832117,0.5777777777777777,pool=bf16_values_sequential_acc_bf16,score=bf16_values_sequential_rank1_acc_bf16,unaffected
R5L,0.9,"repr=nvfp4, pool=bf16/low, score=bf16/low",bf16_acc_bf16,nvfp4,native,720,0.9513339196716506,0.026950597031336843,0.893073903340494,0.9750600961538461,0.9994716445577146,0.00506591796875,0.8359375,1.296875,0.9725134311194512,0.9568556860061792,99.0,233,0,0.0016967565966910137,0.007538489438546228,0.18192967027425766,0.9860339760780334,0.1820780113339424,1.5508383512496948e-05,0.0005782581865787506,0.0008422940969467163,0.001664611724002695,0.007431071876954286,0.5208333333333334,0.0008271634578704834,53.3365361518136,53.3365361518136,0.5805555555555556,pool=bf16_values_sequential_acc_bf16,score=bf16_values_sequential_rank1_acc_bf16,unaffected
R6,0.9,"repr=bf16, pool=fp32+fp8_e4m3/native, score=fp8_e4m3/native",fp8,bf16,native,720,0.9613967879770149,0.018001438419966043,0.9234075773472032,0.9803185096153846,0.9993266158485195,0.003997802734375,0.75390625,1.0234375,0.9613967879770149,0.956064947468959,0.0,1,0,0.0016967565966910137,0.005365554749998099,0.182245172560215,0.986098974943161,0.1820780113339424,-7.186084985733032e-06,0.00045900698751211166,0.00046995580196380616,0.0012162005871500115,0.004879140127949824,0.4875,0.000564873218536377,-78.60653188180405,78.60653188180405,0.5902777777777778,pool=fp32_values_torch_sum_acc_fp32+pooled_rounded_to_fp8_e4m3_per_head_amax,score=fp8_e4m3_torch_scaled_mm_acc_fp32_native,unaffected
R7,0.9,"repr=nvfp4, pool=fp32+fp8_e4m3/native, score=fp8_e4m3/native",fp8,nvfp4,native,720,0.956064947468959,0.022367199960557693,0.9124994168202265,0.9775390625,0.9991616940276469,0.0045623779296875,0.80078125,1.16796875,0.956064947468959,0.9613967879770149,0.0,1,0,0.0016967565966910137,0.006249962945733109,0.1820017695426941,0.9860733449459076,0.1820780113339424,2.156756818294525e-05,0.0005356417968869209,0.0006577998399734497,0.0015592959080637397,0.0065597280992637065,0.5180555555555556,0.0006575360894203186,30.487261421538992,30.487261421538992,0.5805555555555556,pool=fp32_values_torch_sum_acc_fp32+pooled_rounded_to_fp8_e4m3_per_head_amax,score=fp8_e4m3_torch_scaled_mm_acc_fp32_native,unaffected
R8,0.9,"repr=bf16, pool=fp32+nvfp4/native, score=fp32/native",nvfp4_like,bf16,simulated,720,0.8902378512035634,0.045839635689755465,0.800007437320555,0.9419320913461539,0.9935131199448177,0.0117950439453125,0.98828125,3.01953125,0.8902378512035634,0.8920513117730842,0.0,2,0,0.0016967565966910137,0.020084913917931893,0.18223649263381958,0.986061304807663,0.1820780113339424,0.0001148805022239685,0.0015786774456501007,0.0018541615456342698,0.004578615149664646,0.02004344261991572,0.5458333333333333,0.0016669854521751404,14.51060380050587,14.51060380050587,0.5819444444444445,pool=fp32_values_torch_sum_acc_fp32+pooled_rounded_to_nvfp4_e2m1_per16_e4m3_sf,score=fp32_values_torch_matmul_acc_fp32_tf32_disabled,unaffected
R9,0.9,"repr=nvfp4, pool=fp32+nvfp4/native, score=fp32/native",nvfp4_like,nvfp4,simulated,720,0.8882939135062644,0.046905456201357554,0.7982870945539133,0.9408428485576923,0.9933743040987395,0.01201629638671875,0.98828125,3.076171875,0.8882939135062644,0.8933295406058882,0.0,2,0,0.0016967565966910137,0.020457567984103434,0.18196319043636322,0.9860181212425232,0.1820780113339424,0.00018729642033576965,0.0017080157995224,0.002079331874847412,0.004813079834648541,0.024932325385556654,0.5652777777777778,0.0018211975693702698,9.723611193985322,9.723611193985322,0.5833333333333334,pool=fp32_values_torch_sum_acc_fp32+pooled_rounded_to_nvfp4_e2m1_per16_e4m3_sf,score=fp32_values_torch_matmul_acc_fp32_tf32_disabled,unaffected
