arm,timestep,sparsity,arm_label,ladder_position,representation,native_or_simulated,n_cells,jaccard_median,jaccard_iqr,jaccard_p05,recall_median,spearman_rho_median,frac_decisions_changed_median,frac_query_blocks_changed_median,swaps_per_query_block_median,jaccard_pooling_only_median,jaccard_vs_study1_arm_median,deployed_score_ties_median,deployed_score_ties_max,exact_ties_fp64_total,reference_margin_norm_fp64_median,changed_pair_gap_fp64_median,rel_l2_median,cosine_median,sparsification_error_median,wrong_mask_excess_median,wrong_mask_excess_iqr,wrong_mask_excess_p90,abs_wrong_mask_over_sparsification_median,abs_wrong_mask_over_sparsification_p90,frac_cells_arm_worse_than_reference,random_matched_excess_median,isolation_ratio_median_of_medians,isolation_ratio_abs,frac_cells_random_worse_than_arm,pool_semantics,score_semantics
R1,40,0.9,"repr=nvfp4, pool=fp64/native, score=fp64/native",fp64,nvfp4,native,720,0.9766138339720736,0.01951005622021429,0.9359952317641923,0.9881685697115384,0.9997218784860468,0.00240325927734375,0.5390625,0.615234375,0.9766138339720736,,0.0,0,0,0.0017514000664919124,0.002969687503708684,0.10132865607738495,0.9954063296318054,0.10136650502681732,5.309842526912689e-05,0.00038606952875852585,0.0008315801620483399,0.001991195547680444,0.015186943296730746,0.5819444444444445,0.0021578148007392883,40.63801873224121,40.63801873224121,0.8208333333333333,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R1,48,0.9,"repr=nvfp4, pool=fp64/native, score=fp64/native",fp64,nvfp4,native,720,0.9755871358771746,0.019899068680182985,0.9299536474627621,0.9876427283653846,0.9996720325147223,0.00251007080078125,0.5546875,0.642578125,0.9755871358771746,,0.0,0,0,0.0017532013033044087,0.0030913196330988437,0.08706062659621239,0.9969176948070526,0.08737214282155037,3.538001328706741e-05,0.0003971140831708908,0.000909075140953064,0.002243368124410567,0.023613208909888966,0.5694444444444444,0.00326533243060112,92.29313748716734,92.29313748716734,0.875,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R2,0,0.9,"repr=bf16, pool=fp32/native, score=fp32/native",fp32,bf16,native,720,1.0,0.0,1.0,1.0,0.9999999991705377,0.0,0.0,0.0,1.0,0.9686483288967761,0.0,1,0,0.0015495728401329453,1.2386836791331416e-07,0.23552346974611282,0.9773285090923309,0.23552346974611282,0.0,0.0,0.0,0.0,0.0,0.005555555555555556,0.0,,,0.001388888888888889,pool=fp32_values_torch_sum_acc_fp32,score=fp32_values_torch_matmul_acc_fp32_tf32_disabled
R2,1,0.9,"repr=bf16, pool=fp32/native, score=fp32/native",fp32,bf16,native,720,1.0,0.0,1.0,1.0,0.9999999991268818,0.0,0.0,0.0,1.0,0.9710531213385687,0.0,1,0,0.0015789507689272912,1.7718225271251074e-07,0.21593793481588364,0.9805949330329895,0.21593793481588364,0.0,0.0,0.0,0.0,0.0,0.004166666666666667,0.0,,,0.002777777777777778,pool=fp32_values_torch_sum_acc_fp32,score=fp32_values_torch_matmul_acc_fp32_tf32_disabled
R2,10,0.9,"repr=bf16, pool=fp32/native, score=fp32/native",fp32,bf16,native,720,1.0,0.0,1.0,1.0,0.9999999992141936,0.0,0.0,0.0,1.0,0.9755138383913334,0.0,1,0,0.0017019417356714027,1.6936466360892963e-07,0.15519648790359497,0.9898657500743866,0.15519648790359497,0.0,0.0,0.0,0.0,0.0,0.002777777777777778,0.0,,,0.001388888888888889,pool=fp32_values_torch_sum_acc_fp32,score=fp32_values_torch_matmul_acc_fp32_tf32_disabled
R2,25,0.9,"repr=bf16, pool=fp32/native, score=fp32/native",fp32,bf16,native,720,1.0,0.0,1.0,1.0,0.9999999993015054,0.0,0.0,0.0,1.0,0.9769807678027772,0.0,1,0,0.0017476853371679994,6.835215155336105e-08,0.13068559765815735,0.9932987689971924,0.13068559765815735,0.0,0.0,0.0,0.0,0.0,0.001388888888888889,0.0,,,0.001388888888888889,pool=fp32_values_torch_sum_acc_fp32,score=fp32_values_torch_matmul_acc_fp32_tf32_disabled
R2,40,0.9,"repr=bf16, pool=fp32/native, score=fp32/native",fp32,bf16,native,720,1.0,0.0,1.0,1.0,0.999999999476129,0.0,0.0,0.0,1.0,0.9766138339720736,0.0,1,0,0.0017514000664919124,8.096747522068836e-08,0.10136650502681732,0.995354562997818,0.10136650502681732,0.0,0.0,0.0,0.0,0.0,0.001388888888888889,0.0,,,0.004166666666666667,pool=fp32_values_torch_sum_acc_fp32,score=fp32_values_torch_matmul_acc_fp32_tf32_disabled
R2,48,0.9,"repr=bf16, pool=fp32/native, score=fp32/native",fp32,bf16,native,720,1.0,0.0,1.0,1.0,0.9999999989522581,0.0,0.0,0.0,1.0,0.9755871358771746,0.0,0,0,0.0017532013033044087,2.9536020200384404e-08,0.08737214282155037,0.996860682964325,0.08737214282155037,0.0,0.0,0.0,0.0,0.0,0.002777777777777778,0.0,,,0.005555555555555556,pool=fp32_values_torch_sum_acc_fp32,score=fp32_values_torch_matmul_acc_fp32_tf32_disabled
R3,0,0.9,"repr=nvfp4, pool=fp32/native, score=fp32/native",fp32,nvfp4,native,720,0.9686483288967761,0.01575059995945627,0.9357066819943736,0.9840745192307693,0.9997225152511615,0.00323486328125,0.65234375,0.828125,0.9686483288967761,1.0,0.0,1,0,0.0015495728401329453,0.0034901584763367766,0.2354826107621193,0.9773020148277283,0.23552346974611282,1.0728836059570312e-06,0.0005020527169108391,0.0008296489715576172,0.001116845340835268,0.0064821212505549505,0.5013888888888889,-0.00046522170305252075,-433.61805555555554,433.61805555555554,0.38055555555555554,pool=fp32_values_torch_sum_acc_fp32,score=fp32_values_torch_matmul_acc_fp32_tf32_disabled
R3,1,0.9,"repr=nvfp4, pool=fp32/native, score=fp32/native",fp32,nvfp4,native,720,0.9710531213385687,0.01675909284622612,0.9348837209302326,0.9853140024038461,0.9997367211905945,0.00298309326171875,0.625,0.763671875,0.9710531213385687,1.0,0.0,1,0,0.0015789507689272912,0.003294153522333981,0.21577351540327072,0.9806611835956573,0.21593793481588364,2.7807429432868958e-05,0.0004384145140647888,0.0006732016801834107,0.0010892178802763956,0.007702427130242023,0.5444444444444444,-9.347498416900635e-05,-3.361511152789872,3.361511152789872,0.4638888888888889,pool=fp32_values_torch_sum_acc_fp32,score=fp32_values_torch_matmul_acc_fp32_tf32_disabled
R3,10,0.9,"repr=nvfp4, pool=fp32/native, score=fp32/native",fp32,nvfp4,native,720,0.9755138383913334,0.01805659104885393,0.9360022692388824,0.9876051682692307,0.9997562646764422,0.0025177001953125,0.560546875,0.64453125,0.9755138383913334,1.0,0.0,0,0,0.0017019417356714027,0.0028482398172248826,0.15504544973373413,0.989864706993103,0.15519648790359497,1.442059874534607e-05,0.0003654118627309799,0.0006391510367393493,0.0012543095093202712,0.008069325590070047,0.5319444444444444,0.0006277561187744141,43.53190390080083,43.53190390080083,0.6305555555555555,pool=fp32_values_torch_sum_acc_fp32,score=fp32_values_torch_matmul_acc_fp32_tf32_disabled
R3,25,0.9,"repr=nvfp4, pool=fp32/native, score=fp32/native",fp32,nvfp4,native,720,0.9769807678027772,0.018571090947128166,0.9408006244852409,0.9883563701923077,0.9997262089342245,0.0023651123046875,0.53515625,0.60546875,0.9769807678027772,1.0,0.0,1,0,0.0017476853371679994,0.0028155925739780964,0.13085483759641647,0.9932686388492584,0.13068559765815735,3.2864976674318314e-05,0.00035717524588108063,0.0007091134786605835,0.0016735180335147033,0.009843819243425287,0.5541666666666667,0.0015434511005878448,46.963401674766565,46.963401674766565,0.7361111111111112,pool=fp32_values_torch_sum_acc_fp32,score=fp32_values_torch_matmul_acc_fp32_tf32_disabled
R3,40,0.9,"repr=nvfp4, pool=fp32/native, score=fp32/native",fp32,nvfp4,native,720,0.9766138339720736,0.01951005622021429,0.9359952317641923,0.9881685697115384,0.9997218780058239,0.00240325927734375,0.5390625,0.615234375,0.9766138339720736,1.0,0.0,0,0,0.0017514000664919124,0.002969687503708684,0.10132865607738495,0.9954063296318054,0.10136650502681732,5.309842526912689e-05,0.00038606952875852585,0.00082042021676898,0.001991195547680444,0.015186943296730746,0.5819444444444445,0.0023686233907938004,44.608166415266425,44.608166415266425,0.8152777777777778,pool=fp32_values_torch_sum_acc_fp32,score=fp32_values_torch_matmul_acc_fp32_tf32_disabled
R3,48,0.9,"repr=nvfp4, pool=fp32/native, score=fp32/native",fp32,nvfp4,native,720,0.9755871358771746,0.019899068680182985,0.9299536474627621,0.9876427283653846,0.9996720335624054,0.00251007080078125,0.5546875,0.642578125,0.9755871358771746,1.0,0.0,1,0,0.0017532013033044087,0.0030913196330988437,0.08706062659621239,0.9969176948070526,0.08737214282155037,3.538001328706741e-05,0.0003971140831708908,0.000909075140953064,0.002243368124410567,0.023613208909888966,0.5694444444444444,0.003388442099094391,95.77277632999026,95.77277632999026,0.8763888888888889,pool=fp32_values_torch_sum_acc_fp32,score=fp32_values_torch_matmul_acc_fp32_tf32_disabled
R4,0,0.9,"repr=bf16, pool=bf16/native, score=bf16/native",bf16_acc_fp32,bf16,native,720,0.9870139562653929,0.013510700707609402,0.9619604886822124,0.9934645432692307,0.9999844936000517,0.0013275146484375,0.318359375,0.33984375,0.9959517205187796,0.9655961609449981,117.5,235,0,0.0015495728401329453,0.0012586706993830393,0.23539362847805023,0.9773278832435608,0.23552346974611282,1.6614794731140137e-06,0.00032918527722358704,0.0006554633378982544,0.0008467978256286748,0.0032006786557849465,0.5055555555555555,-0.0002297908067703247,-138.304932735426,138.304932735426,0.43472222222222223,pool=bf16_values_torch_sum_acc_fp32,score=bf16_values_torch_matmul_acc_fp32
R4,1,0.9,"repr=bf16, pool=bf16/native, score=bf16/native",bf16_acc_fp32,bf16,native,720,0.9887950997236125,0.010868212847228387,0.9609489528277895,0.9943659855769231,0.9999866515506385,0.0011444091796875,0.28125,0.29296875,0.9964007198560288,0.9690123164149844,108.0,247,0,0.0015789507689272912,0.0010896491095763825,0.21623454988002777,0.9806157052516937,0.21593793481588364,4.664063453674316e-06,0.0002511516213417053,0.00041883587837219236,0.0006739332225735458,0.0027515670126319327,0.5166666666666667,-5.1684677600860596e-05,-11.081469648562301,11.081469648562301,0.5069444444444444,pool=bf16_values_torch_sum_acc_fp32,score=bf16_values_torch_matmul_acc_fp32
R4,10,0.9,"repr=bf16, pool=bf16/native, score=bf16/native",bf16_acc_fp32,bf16,native,720,0.9908771405069917,0.008625635690775124,0.9722796355131941,0.9954176682692307,0.9999888105653418,0.0009307861328125,0.23046875,0.23828125,0.996999699969997,0.9730981610817397,92.0,228,0,0.0017019417356714027,0.0009202202381065434,0.15522896498441696,0.9898805320262909,0.15519648790359497,-1.0818708688020706e-05,0.000178659800440073,0.00022442340850830077,0.0006366027638432413,0.0026519059855093442,0.43333333333333335,0.00023455172777175903,-21.680196272543366,21.680196272543366,0.6638888888888889,pool=bf16_values_torch_sum_acc_fp32,score=bf16_values_torch_matmul_acc_fp32
