arm,jaccard_baseline,jaccard_720p,damage_share_baseline,damage_share_720p,damage_share_ratio,isolation_baseline,isolation_720p
R1,0.9753672651728743,0.9778671466336689,0.0012993899386527805,0.0008492817988312668,0.6536004116761209,28.05924978687127,29.754954954954954
R3,0.9753672651728743,0.9778671466336689,0.0012997241132918893,0.0008492817988312668,0.653432363180706,27.91838474242182,30.167927927927927
R6,0.9599528857479388,0.9629619292173719,0.0015875382038397527,0.000895175424708253,0.5638764613935632,76.35563672588411,58.48660769901582
R7,0.9534815467018857,0.9567086318425263,0.001996747456709385,0.0012873342866942692,0.6447156260891301,29.234978661275832,30.212488015340366
R8,0.8874237912944846,0.8927269057390836,0.006206811607287646,0.005083685116182379,0.8190493667011638,16.89994860578245,14.943202108664229
R9,0.8848849557522124,0.8902342332656928,0.006671345394436331,0.005391229339200708,0.8081172567825382,14.456933368223957,13.67925615706766
