configuration,labelling,resolution,frames,token_count_padded_seq_len,block_geometry,n_k_blocks,sparsity,n_prompts,n_rows,jaccard_median_R9,jaccard_median_R1,max_abs_wrong_mask_over_sparsification,min_isolation_ratio,higher_precision_router_recovery_share,damage_under_1pct,isolation_above_5x,arms_damaging_in_majority_of_cells
baseline 480x832,"proxy generalization (controlled scorer, not VSA)",480x832,81,32760,128x64-raster,512,0.9,10,518400,0.8848849557522124,0.9750741839762611,0.006999722357211184,12.17662536571956,0.0018977433313641667,True,True,"['R1', 'R3', 'R6', 'R7', 'R8', 'R9']"
baseline 480x832 (matched prompts),"proxy generalization (controlled scorer, not VSA)",480x832,81,32760,128x64-raster,512,0.9,5,259200,0.8848849557522124,0.9753672651728743,0.006671345394436331,14.456933368223957,0.0018315708485707478,True,True,"['R1', 'R3', 'R6', 'R7', 'R8', 'R9']"
generalization 720x1280,"proxy generalization (controlled scorer, not VSA)",720x1280,81,75600,128x64-raster,1182,0.9,5,259200,0.8902342332656928,0.9778671466336689,0.005391229339200708,13.67925615706766,0.0012310982594887737,True,True,"['R1', 'R3', 'R6', 'R7', 'R8', 'R9']"
