metric,candidate,reference,value
lpips,SPARSE-FP4-NAIVE,SPARSE-FP4-ROUTE16,0.25692078471183777
lpips,SPARSE-FP4-NAIVE,SPARSE-FP4-ROUTE16,0.13435888290405273
lpips,SPARSE-FP4-NAIVE,SPARSE-FP4-ROUTE16,0.06532958894968033
lpips,SPARSE-FP4-NAIVE,SPARSE-FP4-ROUTE16,0.1172800213098526
lpips,SPARSE-FP4-NAIVE,SPARSE-FP4-ROUTE16,0.1813066601753235
lpips,SPARSE-FP4-NAIVE,SPARSE-FP4-ROUTE16,0.13159334659576416
lpips,SPARSE-FP4-NAIVE,SPARSE-FP4-ROUTE16,0.06563720852136612
lpips,SPARSE-FP4-NAIVE,SPARSE-FP4-ROUTE16,0.09335905313491821
lpips,SPARSE-FP4-NAIVE,SPARSE-FP4-ROUTE16,0.2146664410829544
lpips,SPARSE-FP4-NAIVE,SPARSE-FP4-ROUTE8,0.10038091242313385
lpips,SPARSE-FP4-NAIVE,SPARSE-FP4-ROUTE8,0.24528522789478302
lpips,SPARSE-FP4-NAIVE,SPARSE-FP4-ROUTE8,0.13274426758289337
lpips,SPARSE-FP4-NAIVE,SPARSE-FP4-ROUTE8,0.07040619850158691
lpips,SPARSE-FP4-NAIVE,SPARSE-FP4-ROUTE8,0.11651434749364853
lpips,SPARSE-FP4-NAIVE,SPARSE-FP4-ROUTE8,0.16892291605472565
lpips,SPARSE-FP4-NAIVE,SPARSE-FP4-ROUTE8,0.129497230052948
lpips,SPARSE-FP4-NAIVE,SPARSE-FP4-ROUTE8,0.057821910828351974
lpips,SPARSE-FP4-NAIVE,SPARSE-FP4-ROUTE8,0.0902949795126915
lpips,SPARSE-FP4-NAIVE,SPARSE-FP4-ROUTE8,0.19153089821338654
lpips,SPARSE-FP4-ROUTE8,SPARSE-FP4-ROUTE16,0.10458729416131973
lpips,SPARSE-FP4-ROUTE8,SPARSE-FP4-ROUTE16,0.26583221554756165
lpips,SPARSE-FP4-ROUTE8,SPARSE-FP4-ROUTE16,0.14439204335212708
lpips,SPARSE-FP4-ROUTE8,SPARSE-FP4-ROUTE16,0.06849274784326553
lpips,SPARSE-FP4-ROUTE8,SPARSE-FP4-ROUTE16,0.11108710616827011
lpips,SPARSE-FP4-ROUTE8,SPARSE-FP4-ROUTE16,0.17676343023777008
lpips,SPARSE-FP4-ROUTE8,SPARSE-FP4-ROUTE16,0.1287202537059784
lpips,SPARSE-FP4-ROUTE8,SPARSE-FP4-ROUTE16,0.05136105418205261
lpips,SPARSE-FP4-ROUTE8,SPARSE-FP4-ROUTE16,0.08962176740169525
lpips,SPARSE-FP4-ROUTE8,SPARSE-FP4-ROUTE16,0.1655873954296112
