measurement,sparsity_effect,routing_precision_effect,wrong_mask_term,floor,ratio_sparsity_over_routing
"single-step attention (exactly paired, n=34560 cells)",0.17254706472158432,1.8664380994893796e-05,4.0378421545028687e-05,,9244.724738998297
"free-running final video (pixel MAE, n=10 prompts)",0.16746900207422522,0.031217193721756346,,0.020741028191734623,5.364639870159445
