injected_attention_rel_l2,mean_abs_pixel_diff,reference_line
9.598841295049473e-07,0.018549835803929646,
9.813814749956387e-07,0.022932220579539597,
3.0242009466746824e-05,0.019943390474221848,
3.0971908337960484e-05,0.035704159203292174,
0.0008515112777240574,0.019825154738523316,
0.000858961664858119,0.031097409085431432,
0.01012916835770011,0.023878796424897923,
0.010130819862398008,0.017429741653848124,
0.10001361341029405,0.03173646491904972,
0.10001363033304612,0.05286668079040518,
,0.031217193721756346,routing precision NVFP4 vs BF16
,0.16746900207422522,sparsity 0.90 vs dense
