metric,arm,value
lpips,SPARSE-FP4-NAIVE,0.43868595361709595
lpips,SPARSE-FP4-NAIVE,0.6222957968711853
lpips,SPARSE-FP4-NAIVE,0.5984389781951904
lpips,SPARSE-FP4-NAIVE,0.4814245402812958
lpips,SPARSE-FP4-NAIVE,0.585939884185791
lpips,SPARSE-FP4-NAIVE,0.6384999752044678
lpips,SPARSE-FP4-NAIVE,0.5806019306182861
lpips,SPARSE-FP4-NAIVE,0.41399267315864563
lpips,SPARSE-FP4-NAIVE,0.535355269908905
lpips,SPARSE-FP4-NAIVE,0.5099356174468994
lpips,SPARSE-FP4-ROUTE8,0.43405190110206604
lpips,SPARSE-FP4-ROUTE8,0.6228052973747253
lpips,SPARSE-FP4-ROUTE8,0.6016600131988525
lpips,SPARSE-FP4-ROUTE8,0.4821106791496277
lpips,SPARSE-FP4-ROUTE8,0.5802503228187561
lpips,SPARSE-FP4-ROUTE8,0.6407108306884766
lpips,SPARSE-FP4-ROUTE8,0.5709173679351807
lpips,SPARSE-FP4-ROUTE8,0.4121270775794983
lpips,SPARSE-FP4-ROUTE8,0.5312819480895996
lpips,SPARSE-FP4-ROUTE8,0.5077696442604065
lpips,SPARSE-FP4-ROUTE16,0.4331154227256775
lpips,SPARSE-FP4-ROUTE16,0.6222327351570129
lpips,SPARSE-FP4-ROUTE16,0.5955573916435242
lpips,SPARSE-FP4-ROUTE16,0.48193925619125366
lpips,SPARSE-FP4-ROUTE16,0.5809781551361084
lpips,SPARSE-FP4-ROUTE16,0.6363964080810547
lpips,SPARSE-FP4-ROUTE16,0.5681871175765991
lpips,SPARSE-FP4-ROUTE16,0.41398724913597107
lpips,SPARSE-FP4-ROUTE16,0.5373183488845825
lpips,SPARSE-FP4-ROUTE16,0.5135518312454224
mean_abs_pixel_diff,DENSE-FP4,0.04035427162035163
mean_abs_pixel_diff,DENSE-FP4,0.08131363183822865
mean_abs_pixel_diff,DENSE-FP4,0.07421994392436881
mean_abs_pixel_diff,DENSE-FP4,0.0583252834672476
mean_abs_pixel_diff,DENSE-FP4,0.09893076189135126
mean_abs_pixel_diff,DENSE-FP4,0.1161150603275756
mean_abs_pixel_diff,DENSE-FP4,0.11880686617204506
mean_abs_pixel_diff,DENSE-FP4,0.06112074867335882
mean_abs_pixel_diff,DENSE-FP4,0.06687122129168807
mean_abs_pixel_diff,DENSE-FP4,0.07442069327867747
mean_abs_pixel_diff,SPARSE-BF16,0.12212109061576551
mean_abs_pixel_diff,SPARSE-BF16,0.17496575226169403
mean_abs_pixel_diff,SPARSE-BF16,0.19471975588730597
mean_abs_pixel_diff,SPARSE-BF16,0.1460503865913511
mean_abs_pixel_diff,SPARSE-BF16,0.16895357814785597
mean_abs_pixel_diff,SPARSE-BF16,0.2744581510035237
mean_abs_pixel_diff,SPARSE-BF16,0.17029687809116467
mean_abs_pixel_diff,SPARSE-BF16,0.16056989257416418
mean_abs_pixel_diff,SPARSE-BF16,0.13017976374594462
mean_abs_pixel_diff,SPARSE-BF16,0.1659844260005945
mean_abs_pixel_diff,SPARSE-FP4-NAIVE,0.11902550106324311
mean_abs_pixel_diff,SPARSE-FP4-NAIVE,0.14843592667134362
mean_abs_pixel_diff,SPARSE-FP4-NAIVE,0.17178896659157933
mean_abs_pixel_diff,SPARSE-FP4-NAIVE,0.1409171721194884
mean_abs_pixel_diff,SPARSE-FP4-NAIVE,0.15232719804486658
mean_abs_pixel_diff,SPARSE-FP4-NAIVE,0.2428356284291178
mean_abs_pixel_diff,SPARSE-FP4-NAIVE,0.15071443531273462
mean_abs_pixel_diff,SPARSE-FP4-NAIVE,0.1520112883230799
mean_abs_pixel_diff,SPARSE-FP4-NAIVE,0.10922933837916386
mean_abs_pixel_diff,SPARSE-FP4-NAIVE,0.11466347887456398
mean_abs_pixel_diff,SPARSE-FP4-ROUTE8,0.1178974508220314
mean_abs_pixel_diff,SPARSE-FP4-ROUTE8,0.14777566192899058
mean_abs_pixel_diff,SPARSE-FP4-ROUTE8,0.17097050586153814
mean_abs_pixel_diff,SPARSE-FP4-ROUTE8,0.14129467581072425
mean_abs_pixel_diff,SPARSE-FP4-ROUTE8,0.15126759954377847
