sparsity,region,excess_rel_l2_quantization_mask_median,excess_rel_l2_random_mask_median,random_over_quantization_ratio,n_paired_cells
0.8,affected,3.8914382457733154e-05,0.004880668129771948,125.42067537813517,7200
0.8,all,3.096088767051697e-05,0.0008359011262655258,26.998616291661655,20400
0.8,broad,3.145076334476471e-05,0.0008686352521181107,27.618892508143322,7200
0.8,unaffected,2.278946340084076e-05,0.000135716050863266,5.955210461789947,6000
0.9,affected,3.938551526516676e-05,0.003249984234571457,82.5172455581862,7200
0.9,all,3.325752913951874e-05,0.0007204711437225342,21.663399607952954,20400
0.9,broad,4.264712333679199e-05,0.0007677003741264343,18.00122292103424,7200
0.9,unaffected,1.895613968372345e-05,8.74251127243042e-05,4.611968163505945,6000
0.95,affected,0.00017268769443035126,0.00250350683927536,14.497308841453549,7200
0.95,all,9.519606828689575e-05,0.0009592734277248383,10.076817719339438,20400
0.95,broad,7.853657007217407e-05,0.0011295601725578308,14.382601271226639,7200
0.95,unaffected,5.850940942764282e-05,7.85142183303833e-05,1.3419075512542977,6000
